trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30
20201109,10.35,11.89,10.35,11.89,974769.7,1093990.399,,,,
20201110,11.11,11.59,10.7,10.7,750369.77,833129.921,,,,
20201111,10.0,10.15,9.63,9.63,529357.46,517059.929,,,,
20201112,9.3,9.4,8.88,8.98,438813.76,397856.718,,,,
20201113,8.87,9.15,8.72,8.91,304473.83,271788.203,10.022,,,
20201116,8.9,8.9,8.57,8.73,291601.9,254123.669,9.39,,,
20201117,8.69,9.5,8.61,9.14,464077.61,419801.394,9.078,,,
20201118,9.0,9.07,8.8,8.86,265456.64,235921.725,8.924,,,
20201119,8.81,8.92,8.71,8.74,178250.2,156441.709,8.876,,,
20201120,8.73,8.74,8.58,8.63,161465.09,139338.796,8.819999999999999,9.421,,
20201123,8.58,8.68,8.55,8.63,150400.92,129615.799,8.8,9.094999999999999,,
20201124,8.65,8.99,8.57,8.79,249055.41,218663.215,8.73,8.903999999999998,,
20201125,8.75,8.79,8.59,8.59,167766.1,145269.30599999998,8.675999999999998,8.799999999999999,,
20201126,8.56,8.63,8.33,8.35,157983.93,133534.283,8.597999999999999,8.736999999999998,,
20201127,8.33,8.48,8.33,8.41,90881.16,76330.276,8.553999999999998,8.686999999999998,,
20201130,8.38,8.59,8.36,8.43,119395.3,101391.987,8.513999999999998,8.656999999999998,,
20201201,8.38,8.52,8.29,8.46,129483.34,108806.039,8.447999999999997,8.588999999999997,,
20201202,8.41,8.62,8.39,8.52,143020.54,122045.786,8.433999999999997,8.554999999999996,,
20201203,8.49,8.87,8.43,8.76,224176.64,194246.52300000002,8.515999999999996,8.556999999999999,,
20201204,8.67,8.78,8.57,8.58,119494.15,103187.174,8.549999999999997,8.551999999999998,8.986500000000001,
20201207,8.54,8.54,8.39,8.4,98020.17,82681.422,8.543999999999997,8.529,8.812000000000001,
20201208,8.39,8.47,8.35,8.39,60402.71,50733.03599999999,8.529999999999998,8.488999999999999,8.6965,
20201209,8.39,8.41,8.13,8.14,111296.34,91959.27699999999,8.453999999999997,8.443999999999999,8.622,
20201210,8.06,8.13,7.98,7.98,86686.8,69696.781,8.297999999999998,8.407,8.572,
20201211,7.97,8.02,7.63,7.74,122222.17,95095.726,8.129999999999999,8.34,8.5135,
20201214,7.75,7.84,7.69,7.79,63690.72,49619.094000000005,8.008,8.276,8.4665,
20201215,7.75,8.07,7.7,7.93,104546.46,82590.745,7.915999999999999,8.222999999999999,8.406,
20201216,7.89,7.96,7.71,7.71,73059.21,56761.154,7.829999999999998,8.142,8.348500000000001,
20201217,7.71,7.73,7.44,7.67,95229.98,72189.973,7.767999999999998,8.032999999999998,8.295,
20201218,7.67,7.72,7.55,7.55,65106.61,49723.488,7.729999999999997,7.929999999999998,8.241000000000001,8.634333333333334
20201221,7.52,7.6,7.49,7.51,61892.81,46608.342000000004,7.673999999999997,7.840999999999998,8.185,8.488333333333335
20201222,7.49,7.5,7.15,7.2,125250.14,91697.369,7.527999999999997,7.721999999999999,8.105500000000001,8.371666666666668
20201223,7.24,7.33,7.15,7.29,71537.04,51900.373,7.443999999999997,7.636999999999999,8.0405,8.293666666666669
20201224,7.24,7.29,6.96,6.97,97274.02,68852.018,7.303999999999997,7.535999999999999,7.971500000000001,8.226666666666668
20201225,7.0,7.09,6.92,7.0,67752.36,47569.417,7.193999999999997,7.461999999999999,7.901000000000001,8.163000000000002
20201228,7.0,7.17,6.95,7.04,72964.01,51516.317,7.099999999999997,7.386999999999999,7.8315,8.10666666666667
20201229,7.04,7.25,7.01,7.15,84539.54,60571.831,7.089999999999996,7.309,7.766,8.040333333333336
20201230,7.13,7.17,7.05,7.08,50399.68,35778.779,7.0479999999999965,7.246,7.694,7.981000000000004
20201231,7.08,7.17,7.07,7.14,44094.84,31442.541,7.081999999999996,7.1930000000000005,7.6129999999999995,7.92766666666667
20210104,7.11,7.14,6.92,7.02,106225.2,74280.693,7.085999999999996,7.140000000000001,7.534999999999999,7.874000000000004
20210105,7.02,7.09,6.92,7.07,96661.58,67604.821,7.091999999999996,7.095999999999999,7.468499999999999,7.822000000000004
20210106,7.05,7.06,6.85,6.85,81167.86,56322.273,7.0319999999999965,7.060999999999998,7.391499999999999,7.757333333333337
20210107,6.86,6.89,6.37,6.45,137981.44,90551.95199999999,6.905999999999997,6.9769999999999985,7.3069999999999995,7.6860000000000035
20210108,6.4,6.95,6.32,6.74,163488.21,109227.976,6.825999999999998,6.953999999999998,7.245,7.632333333333337
20210111,6.67,7.01,6.64,6.76,116430.46,79422.004,6.773999999999998,6.929999999999998,7.196,7.577333333333337
20210112,6.7,6.97,6.66,6.79,89849.52,61231.032,6.717999999999998,6.9049999999999985,7.145999999999999,7.5226666666666695
20210113,6.74,6.93,6.62,6.83,102126.61,69260.18400000001,6.713999999999997,6.8729999999999976,7.090999999999999,7.468333333333336
20210114,6.8,7.51,6.79,7.51,254461.88,183729.767,6.925999999999997,6.915999999999999,7.080999999999999,7.434666666666669
20210115,7.54,8.18,7.38,7.84,415119.55,324197.99199999997,7.145999999999996,6.985999999999999,7.089499999999999,7.404000000000003
