trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,2.85,2.86,2.83,2.84,13090.0,3730.553,,,,,
20190103,2.86,2.9,2.82,2.87,11123.0,3197.732,,,,,
20190104,2.86,2.96,2.83,2.95,28009.27,8174.554,,,,,
20190107,2.99,3.09,2.95,3.08,45042.28,13590.161,,,,,
20190108,3.08,3.2,3.01,3.17,85100.81,26652.529,2.982,,,,
20190109,3.14,3.17,3.07,3.14,68016.09,21382.369,3.0420000000000003,,,,
20190110,3.13,3.17,3.09,3.1,36590.32,11436.921,3.088,,,,
20190111,3.09,3.15,3.06,3.12,30147.92,9394.398000000001,3.1220000000000008,,,,
20190114,3.12,3.14,3.08,3.1,25944.0,8072.596,3.126000000000001,,,,
20190115,3.11,3.13,3.09,3.12,21170.8,6592.109,3.1160000000000005,3.0490000000000004,,,
20190116,3.15,3.15,3.1,3.1,16622.43,5185.536,3.1080000000000005,3.075,,,
20190117,3.11,3.15,3.09,3.09,26537.44,8266.195,3.1060000000000008,3.0970000000000004,,,
20190118,3.1,3.12,3.08,3.1,22417.48,6959.767,3.1020000000000003,3.112,,,
20190121,3.11,3.12,3.09,3.11,26728.9,8301.313,3.104,3.1150000000000007,,,
20190122,3.12,3.16,3.09,3.1,27255.59,8538.313,3.1,3.1080000000000005,,,
20190123,3.11,3.11,3.03,3.06,31406.01,9601.16,3.0919999999999996,3.1000000000000005,,,
20190124,3.1,3.11,3.07,3.09,27054.0,8365.809000000001,3.0919999999999996,3.099,,,
20190125,3.08,3.16,3.08,3.09,35687.26,11155.077,3.0899999999999994,3.0959999999999996,,,
20190128,3.11,3.14,3.0,3.01,36110.86,11042.284,3.0699999999999994,3.0869999999999997,,,
20190129,3.04,3.04,2.86,2.93,30393.04,8959.261,3.0359999999999996,3.0679999999999996,3.058500000000001,,
20190130,2.91,2.95,2.88,2.88,15971.07,4655.656,2.9999999999999996,3.0459999999999994,3.0605,,
20190131,2.88,2.9,2.78,2.79,28890.29,8220.428,2.94,3.015999999999999,3.0565000000000007,,
20190201,2.82,2.89,2.82,2.88,21937.76,6287.403,2.8979999999999997,2.993999999999999,3.053000000000001,,
20190211,2.89,2.97,2.89,2.95,23241.73,6813.767,2.8859999999999997,2.9779999999999993,3.046500000000001,,
20190212,2.95,3.03,2.95,3.02,27205.67,8166.22,2.904,2.9699999999999998,3.039000000000001,,
20190213,3.03,3.1,3.0,3.07,41782.13,12799.121000000001,2.942,2.9709999999999996,3.035500000000001,,
20190214,3.11,3.12,3.07,3.1,40855.03,12617.405,3.0040000000000004,2.9719999999999995,3.035500000000001,,
20190215,3.08,3.13,3.05,3.11,42186.38,13063.124,3.0500000000000007,2.9739999999999998,3.035000000000001,,
20190218,3.12,3.18,3.11,3.18,64304.67,20289.32,3.096000000000001,2.9910000000000005,3.039000000000001,,
20190219,3.18,3.29,3.15,3.25,99413.98,31930.843999999997,3.142000000000001,3.0230000000000006,3.0455000000000014,3.046666666666667,
20190220,3.23,3.31,3.18,3.28,109867.4,35609.657,3.184000000000001,3.0630000000000006,3.0545000000000013,3.0613333333333332,
20190221,3.27,3.31,3.24,3.29,72172.97,23681.316000000003,3.2220000000000004,3.113000000000001,3.064500000000001,3.0753333333333335,
20190222,3.3,3.31,3.26,3.3,81511.31,26781.637000000002,3.2600000000000007,3.1550000000000007,3.074500000000001,3.087,
20190225,3.33,3.47,3.28,3.44,139413.01,47171.460999999996,3.312000000000001,3.2040000000000006,3.091000000000001,3.0989999999999998,
20190226,3.48,3.53,3.37,3.43,122687.59,42387.655,3.348000000000001,3.245,3.1075000000000013,3.107666666666667,
20190227,3.43,3.49,3.34,3.39,95792.41,32866.151,3.370000000000001,3.277,3.124000000000001,3.116,
20190228,3.46,3.58,3.44,3.47,162067.79,56678.136,3.406000000000001,3.314,3.1430000000000007,3.1283333333333334,
20190301,3.55,3.56,3.44,3.5,81837.69,28495.086,3.4460000000000006,3.353,3.1635000000000004,3.141,
20190304,3.47,3.68,3.47,3.61,169978.29,60939.990999999995,3.4800000000000004,3.396,3.1935000000000007,3.1580000000000004,
20190305,3.62,3.66,3.52,3.65,131221.25,47244.762,3.524,3.436,3.2295000000000003,3.175666666666667,
20190306,3.65,3.98,3.6,3.86,251333.14,94724.53,3.618,3.4939999999999998,3.2785,3.2010000000000005,
20190307,3.81,3.9,3.72,3.85,176497.52,67191.599,3.6940000000000004,3.55,3.3314999999999997,3.2263333333333337,
