trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,4.38,4.5,4.38,4.4,27485.95,12190.725,,,,,
20190103,4.4,4.46,4.35,4.39,24147.79,10639.739,,,,,
20190104,4.38,4.55,4.35,4.55,52815.72,23680.76,,,,,
20190107,4.56,4.74,4.56,4.74,79691.12,37238.169,,,,,
20190108,4.72,4.78,4.64,4.74,57308.59,26944.202,4.564,,,,
20190109,4.72,4.85,4.65,4.68,46112.87,21836.914,4.62,,,,
20190110,4.67,4.72,4.64,4.68,25903.15,12117.743999999999,4.678,,,,
20190111,4.68,4.74,4.66,4.66,17832.22,8355.421,4.7,,,,
20190114,4.68,4.79,4.68,4.74,36324.11,17239.373,4.7,,,,
20190115,4.74,4.8,4.66,4.72,21986.17,10380.229,4.696,4.630000000000001,,,
20190116,4.69,4.75,4.62,4.66,28105.79,13137.7,4.691999999999999,4.656000000000001,,,
20190117,4.66,4.71,4.59,4.64,27519.29,12777.107,4.683999999999999,4.681000000000001,,,
20190118,4.63,4.67,4.6,4.62,15297.08,7075.45,4.676,4.688000000000001,,,
20190121,4.63,4.66,4.59,4.65,20159.22,9325.113000000001,4.6579999999999995,4.679,,,
20190122,4.68,4.68,4.54,4.61,19601.0,9016.532,4.636,4.666,,,
20190123,4.58,4.61,4.55,4.56,10994.0,5037.451,4.616,4.654000000000001,,,
20190124,4.56,4.6,4.56,4.6,13971.73,6412.0,4.608,4.646000000000001,,,
20190125,4.59,4.59,4.52,4.53,29614.14,13453.713,4.59,4.633000000000001,,,
20190128,4.57,4.57,4.46,4.48,18449.0,8308.893,4.556,4.607000000000001,,,
20190129,4.46,4.48,4.35,4.41,19796.92,8722.951,4.516,4.576000000000002,4.603,,
20190130,4.44,4.47,4.4,4.46,11646.0,5160.357,4.496,4.556000000000002,4.606,,
20190131,4.55,4.66,4.47,4.58,46243.42,21139.642000000003,4.492,4.550000000000002,4.615499999999999,,
20190201,4.58,4.6,4.51,4.6,27791.0,12679.486,4.506,4.548000000000002,4.617999999999999,,
20190211,4.65,4.69,4.59,4.65,21304.91,9895.167,4.54,4.548000000000002,4.6135,,
20190212,4.65,4.7,4.62,4.7,21768.43,10138.434000000001,4.598,4.557000000000002,4.6115,,
20190213,4.69,4.73,4.65,4.72,30673.32,14417.065,4.6499999999999995,4.573000000000002,4.6135,,
20190214,4.75,4.75,4.67,4.67,28066.0,13189.496000000001,4.667999999999999,4.580000000000002,4.613000000000001,,
20190215,4.66,4.75,4.66,4.67,24295.23,11445.105,4.6819999999999995,4.594000000000002,4.613500000000001,,
20190218,4.69,4.85,4.69,4.85,57543.86,27514.0,4.7219999999999995,4.631000000000002,4.6190000000000015,,
20190219,4.88,5.14,4.83,4.94,80020.7,39811.281,4.7700000000000005,4.684000000000002,4.630000000000001,4.629999999999999,
20190220,5.05,5.18,4.93,5.12,92892.26,47034.695999999996,4.8500000000000005,4.750000000000002,4.653000000000001,4.653999999999999,
20190221,5.12,5.17,5.02,5.05,60225.96,30686.069,4.926,4.7970000000000015,4.6735000000000015,4.676,
20190222,5.01,5.08,4.97,5.08,55222.35,27769.048,5.008,4.845000000000001,4.696500000000001,4.693666666666667,
20190225,5.08,5.26,5.07,5.23,84468.67,43779.676,5.0840000000000005,4.9030000000000005,4.725500000000001,4.709999999999999,
20190226,5.2,5.47,5.14,5.27,80040.54,42183.356,5.15,4.960000000000001,4.758500000000001,4.727666666666666,
20190227,5.28,5.37,5.18,5.21,56836.88,29998.331000000002,5.168,5.009000000000001,4.791,4.745333333333333,
20190228,5.22,5.71,5.15,5.5,101328.07,54335.609000000004,5.258,5.0920000000000005,4.836,4.772666666666666,
20190301,5.45,5.69,5.38,5.65,89087.1,49021.937999999995,5.372,5.19,4.892000000000001,4.805666666666666,
20190304,5.58,5.72,5.54,5.57,115322.56,64916.439000000006,5.4399999999999995,5.2620000000000005,4.946500000000001,4.833333333333332,
20190305,5.57,5.59,5.42,5.54,115418.07,63287.752,5.494000000000001,5.322000000000001,5.003000000000002,4.860666666666665,
20190306,5.54,5.59,5.45,5.56,91388.01,50458.312000000005,5.564,5.366000000000001,5.058000000000002,4.890666666666665,
20190307,5.55,5.59,5.47,5.53,98812.33,54663.518,5.57,5.4140000000000015,5.105500000000002,4.920333333333333,
20190308,5.56,5.56,5.17,5.18,98972.25,52911.774000000005,5.476000000000001,5.424000000000001,5.134500000000003,4.938999999999999,
20190311,5.18,5.33,5.18,5.32,61143.52,32179.987,5.426,5.433000000000002,5.168000000000002,4.961333333333332,
20190312,5.39,5.67,5.38,5.53,99644.82,54969.663,5.424000000000001,5.459000000000001,5.209500000000002,4.991999999999999,
20190313,5.54,5.6,5.43,5.45,64380.01,35563.834,5.402000000000002,5.483000000000002,5.246000000000002,5.021666666666665,
20190314,5.38,5.48,5.18,5.25,52175.01,27645.952,5.346000000000001,5.458000000000002,5.275000000000002,5.043333333333332,
20190315,5.28,5.43,5.22,5.43,40007.83,21412.687,5.396000000000001,5.436000000000002,5.3130000000000015,5.073333333333332,
20190318,5.43,5.48,5.37,5.47,34116.09,18564.009,5.426,5.426000000000002,5.344000000000002,5.106333333333333,
20190319,5.5,5.76,5.5,5.63,104152.2,59017.452000000005,5.446000000000001,5.435000000000002,5.378500000000002,5.146999999999999,
20190320,5.61,5.9,5.54,5.88,137413.72,78897.71,5.532000000000002,5.467000000000002,5.416500000000001,5.194333333333332,
20190321,5.81,5.96,5.8,5.81,109351.42,64065.471,5.644000000000001,5.495000000000003,5.454500000000001,5.235333333333331,
20190322,5.81,5.85,5.7,5.75,51714.64,29770.406000000003,5.708000000000001,5.552000000000002,5.488000000000001,5.273666666666665,
20190325,5.68,5.73,5.6,5.66,63558.13,36056.288,5.746,5.586000000000002,5.509500000000001,5.3073333333333315,
20190326,5.68,5.75,5.58,5.6,45740.58,25816.889,5.740000000000001,5.593000000000002,5.526000000000002,5.337333333333332,
20190327,5.72,5.75,5.49,5.66,56117.49,31380.285,5.6960000000000015,5.614000000000002,5.5485000000000015,5.368666666666665,
20190328,5.63,5.63,5.47,5.48,39887.89,22048.206000000002,5.630000000000002,5.637000000000002,5.547500000000001,5.395666666666665,
20190329,5.49,5.62,5.4,5.6,48303.38,26679.357999999997,5.600000000000001,5.654000000000002,5.545000000000001,5.426666666666665,
20190401,5.64,5.85,5.59,5.78,72858.74,41815.21,5.624000000000001,5.685000000000002,5.5555,5.4576666666666656,
20190402,5.82,5.87,5.73,5.79,70702.3,41039.882000000005,5.662000000000002,5.701000000000002,5.5680000000000005,5.485999999999999,5.058000000000002
20190403,5.82,5.83,5.73,5.79,40608.72,23427.942000000003,5.6880000000000015,5.692000000000002,5.579500000000001,5.508333333333331,5.081166666666669
20190404,5.8,5.83,5.69,5.74,60497.81,34811.586,5.740000000000001,5.685000000000001,5.590000000000001,5.531333333333332,5.103666666666669
20190408,5.75,5.79,5.6,5.76,51958.24,29739.181,5.772000000000001,5.686000000000002,5.6190000000000015,5.553999999999998,5.1238333333333355
20190409,5.76,5.78,5.64,5.69,44883.99,25540.078999999998,5.7540000000000004,5.689000000000002,5.637500000000001,5.569333333333331,5.139666666666669
20190410,5.68,5.87,5.66,5.82,82325.5,47629.379,5.760000000000001,5.711000000000001,5.652000000000001,5.587666666666664,5.157666666666668
20190411,5.84,5.87,5.72,5.73,53410.0,30955.23,5.748,5.718000000000002,5.666000000000001,5.604999999999996,5.1751666666666685
20190412,5.88,6.25,5.83,6.15,215584.99,129388.19300000001,5.83,5.785000000000002,5.711000000000001,5.626666666666663,5.199666666666668
20190415,6.3,6.31,5.95,5.97,179005.41,109659.32400000001,5.872,5.822000000000002,5.738000000000001,5.63733333333333,5.221500000000002
20190416,5.98,6.06,5.88,6.05,71750.69,42753.372,5.943999999999999,5.849000000000002,5.767000000000001,5.653333333333331,5.243333333333335
20190417,6.03,6.13,6.0,6.01,91359.51,55278.070999999996,5.981999999999999,5.871000000000003,5.786000000000001,5.668999999999997,5.264833333333334
20190418,6.03,6.05,5.9,5.95,63595.58,38027.657999999996,6.026,5.887000000000002,5.789500000000002,5.681999999999997,5.286333333333333
20190419,5.95,6.02,5.91,6.0,46297.39,27662.717,5.9959999999999996,5.913000000000003,5.799000000000001,5.697666666666663,5.309
20190422,6.01,6.07,5.95,5.98,53202.18,31890.188,5.997999999999999,5.935000000000003,5.810500000000002,5.7243333333333295,5.331666666666667
20190423,5.98,5.98,5.81,5.82,65524.66,38504.407999999996,5.951999999999999,5.948000000000003,5.818500000000002,5.740999999999996,5.351166666666668
20190424,5.83,5.88,5.77,5.85,29219.94,17011.225,5.919999999999999,5.951000000000002,5.831000000000001,5.7516666666666625,5.371833333333334
20190425,5.85,5.85,5.56,5.6,57254.76,32678.577999999998,5.85,5.938000000000002,5.828000000000001,5.756666666666662,5.389166666666668
20190426,5.58,5.62,5.51,5.57,41993.0,23340.101000000002,5.7639999999999985,5.880000000000002,5.832500000000001,5.767333333333329,5.405333333333334
20190429,5.6,5.69,5.53,5.55,56000.17,31487.908,5.677999999999998,5.838000000000003,5.830000000000001,5.771333333333329,5.422333333333335
20190430,5.63,5.65,5.54,5.6,30040.0,16802.108,5.633999999999998,5.793000000000003,5.821000000000001,5.7756666666666625,5.441000000000002
20190506,5.54,5.54,5.11,5.16,61896.3,33018.932,5.495999999999997,5.708000000000004,5.7895,5.759999999999995,5.453500000000002
20190507,5.16,5.26,5.15,5.22,39289.64,20426.546000000002,5.419999999999996,5.635000000000003,5.761,5.737999999999996,5.466166666666669
20190508,5.16,5.27,5.11,5.19,28133.08,14624.678999999998,5.343999999999996,5.554000000000003,5.7335,5.717333333333329,5.4763333333333355
20190509,5.18,5.25,5.01,5.05,30939.0,15835.665,5.243999999999995,5.461000000000003,5.6979999999999995,5.693999999999996,5.483833333333336
20190510,5.11,5.24,5.05,5.21,50560.98,26177.888,5.165999999999995,5.400000000000003,5.6739999999999995,5.678999999999997,5.493166666666669
20190513,5.23,5.32,5.13,5.28,44793.36,23566.866,5.189999999999996,5.343000000000003,5.647,5.66833333333333,5.502833333333336
20190514,5.26,5.31,5.16,5.19,45154.6,23513.737,5.183999999999996,5.302000000000002,5.619999999999999,5.652666666666663,5.510666666666668
20190515,5.25,5.29,5.19,5.27,40587.0,21268.938,5.199999999999996,5.272000000000002,5.575999999999999,5.645666666666664,5.520666666666668
20190516,5.15,5.37,5.14,5.27,63171.77,33070.931000000004,5.243999999999995,5.244000000000002,5.540999999999999,5.634666666666664,5.530666666666667
20190517,5.3,5.3,5.03,5.06,43393.96,22269.342,5.213999999999995,5.190000000000003,5.491499999999999,5.610666666666664,5.534166666666667
20190520,5.06,5.06,4.82,4.92,29806.27,14629.44,5.141999999999994,5.166000000000002,5.436999999999999,5.581666666666664,5.533833333333334
20190521,4.91,5.06,4.91,5.05,25478.07,12792.669,5.1139999999999946,5.149000000000003,5.391999999999999,5.556999999999999,5.5326666666666675
20190522,5.06,5.1,5.01,5.09,24903.15,12599.903999999999,5.077999999999994,5.139000000000003,5.346499999999999,5.535333333333331,5.533333333333333
20190523,5.09,5.1,4.99,5.01,23172.71,11665.023000000001,5.0259999999999945,5.135000000000003,5.297999999999999,5.510333333333332,5.532166666666667
20190524,5.0,5.07,4.95,5.0,15856.8,7941.845,5.013999999999994,5.1140000000000025,5.257,5.487333333333331,5.528333333333333
20190527,5.01,5.1,4.99,5.09,15563.54,7864.297,5.047999999999995,5.095000000000003,5.218999999999999,5.462999999999998,5.525333333333333
20190528,5.06,5.13,5.05,5.07,17348.17,8831.645,5.051999999999994,5.083000000000004,5.1925,5.440999999999999,5.523
20190529,5.1,5.16,5.09,5.12,25304.6,12999.776000000002,5.0579999999999945,5.068000000000003,5.17,5.406666666666665,5.516666666666667
20190530,5.11,5.14,5.05,5.12,18422.17,9386.862,5.079999999999996,5.053000000000003,5.1485,5.378333333333332,5.507833333333334
20190531,5.12,5.26,5.11,5.22,37045.37,19265.528000000002,5.123999999999995,5.069000000000003,5.129500000000001,5.350666666666665,5.502000000000001
20190603,5.2,5.24,5.14,5.23,21162.58,10992.92,5.151999999999996,5.100000000000003,5.133000000000001,5.324666666666665,5.496833333333334
20190604,5.24,5.24,5.12,5.17,22183.0,11459.716999999999,5.171999999999995,5.112000000000004,5.130500000000001,5.298666666666665,5.490333333333335
20190605,5.21,5.21,5.11,5.13,15644.72,8048.499,5.173999999999995,5.116000000000004,5.127500000000001,5.269666666666665,5.483666666666668
20190606,5.15,5.15,5.0,5.03,18639.0,9470.17,5.155999999999995,5.118000000000004,5.126500000000002,5.237999999999999,5.481166666666668
20190610,5.02,5.11,5.01,5.07,17003.01,8599.914,5.125999999999996,5.125000000000004,5.119500000000001,5.212999999999998,5.477000000000001
20190611,5.06,5.2,5.06,5.2,23535.09,12117.83,5.119999999999996,5.136000000000005,5.115500000000002,5.191333333333332,5.471500000000002
20190612,5.19,5.24,5.15,5.2,17044.0,8846.189,5.125999999999995,5.1490000000000045,5.116000000000001,5.177999999999998,5.467333333333334
20190613,5.24,5.24,5.15,5.22,15184.71,7886.472,5.143999999999995,5.159000000000004,5.113500000000002,5.1663333333333314,5.466833333333335
20190614,5.23,5.25,5.09,5.09,20922.0,10780.166000000001,5.155999999999994,5.156000000000005,5.1045000000000025,5.150999999999998,5.461166666666668
20190617,5.09,5.23,5.07,5.19,26112.47,13493.733999999999,5.179999999999994,5.153000000000005,5.111000000000002,5.1373333333333315,5.456500000000001
20190618,5.22,5.24,5.11,5.17,14937.52,7736.354,5.173999999999994,5.147000000000006,5.123500000000002,5.137666666666664,5.448833333333335
20190619,5.24,5.29,5.17,5.17,26071.65,13596.408000000001,5.167999999999994,5.147000000000006,5.129500000000002,5.1359999999999975,5.437000000000001
20190620,5.2,5.32,5.19,5.3,40071.45,21090.816000000003,5.183999999999995,5.164000000000005,5.140000000000002,5.139666666666665,5.428500000000001
20190621,5.35,5.35,5.28,5.31,37611.09,19951.449,5.227999999999994,5.1920000000000055,5.155000000000002,5.148333333333331,5.421166666666668
20190624,5.31,5.34,5.28,5.31,20775.05,11033.411,5.251999999999994,5.2160000000000055,5.170500000000002,5.151666666666665,5.415333333333335
20190625,5.31,5.32,5.18,5.24,28880.66,15127.41,5.265999999999994,5.220000000000005,5.178000000000002,5.150333333333331,5.409333333333334
20190626,5.23,5.3,5.21,5.29,24779.01,13073.365,5.289999999999994,5.2290000000000045,5.189000000000002,5.153666666666664,5.403166666666667
