trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,3.96,4.0,3.93,3.93,77003.48,30420.553,,,,,
20190103,3.92,3.99,3.92,3.96,123241.24,48900.272000000004,,,,,
20190104,3.92,4.06,3.92,4.06,201866.38,80869.958,,,,,
20190107,4.1,4.17,4.06,4.15,292581.87,120360.44300000001,,,,,
20190108,4.14,4.14,4.08,4.09,134574.11,55297.628,4.038,,,,
20190109,4.12,4.14,4.06,4.08,237171.69,97480.336,4.0680000000000005,,,,
20190110,4.08,4.1,4.05,4.06,150811.17,61426.593,4.088,,,,
20190111,4.05,4.14,4.05,4.09,159994.09,65521.649000000005,4.094,,,,
20190114,4.09,4.14,4.06,4.07,167785.6,68726.464,4.078,,,,
20190115,4.07,4.12,4.06,4.12,135162.82,55412.965,4.0840000000000005,4.061,,,
20190116,4.12,4.13,4.06,4.11,146962.5,60228.667,4.090000000000001,4.079,,,
20190117,4.11,4.18,4.07,4.11,289029.53,119232.966,4.1000000000000005,4.093999999999999,,,
20190118,4.12,4.25,4.1,4.22,503137.79,211272.03399999999,4.126,4.109999999999999,,,
20190121,4.23,4.26,4.18,4.21,295190.42,124703.727,4.154000000000001,4.116,,,
20190122,4.21,4.22,4.11,4.13,207460.83,86154.125,4.156000000000001,4.12,,,
20190123,4.11,4.15,4.1,4.13,184476.59,76043.07400000001,4.16,4.125000000000001,,,
20190124,4.13,4.15,4.1,4.12,135626.17,55894.367,4.162000000000001,4.131,,,
20190125,4.12,4.14,4.08,4.08,175094.8,72022.32,4.134,4.13,,,
20190128,4.12,4.13,4.05,4.05,214356.05,87901.44300000001,4.102,4.127999999999999,,,
20190129,4.06,4.07,3.95,4.0,226053.34,90400.121,4.0760000000000005,4.116,4.0885,,
20190130,3.99,4.03,3.97,3.98,132621.89,53079.259000000005,4.046000000000001,4.103,4.090999999999999,,
20190131,4.0,4.07,3.97,4.03,273962.64,110397.135,4.0280000000000005,4.095,4.0945,,
20190201,4.04,4.12,4.03,4.12,236265.7,96164.12199999999,4.036000000000001,4.084999999999999,4.0975,,
20190211,4.11,4.19,4.1,4.18,254995.89,105872.347,4.062000000000001,4.081999999999999,4.098999999999999,,
20190212,4.16,4.22,4.16,4.19,260468.6,109138.90699999999,4.100000000000001,4.087999999999999,4.103999999999999,,
20190213,4.19,4.29,4.16,4.26,433432.56,183446.044,4.156000000000001,4.100999999999998,4.1129999999999995,,
20190214,4.27,4.34,4.24,4.3,396379.84,170354.702,4.210000000000001,4.118999999999998,4.124999999999999,,
20190215,4.28,4.33,4.26,4.27,320638.89,137586.06,4.24,4.137999999999998,4.133999999999999,,
20190218,4.32,4.38,4.29,4.37,408390.12,177038.99399999998,4.2780000000000005,4.169999999999998,4.148999999999999,,
20190219,4.37,4.39,4.32,4.35,386187.24,168065.81600000002,4.3100000000000005,4.204999999999998,4.160499999999999,4.1273333333333335,
20190220,4.36,4.46,4.33,4.38,470619.84,206903.31399999998,4.3340000000000005,4.244999999999999,4.173999999999999,4.142333333333334,
20190221,4.37,4.44,4.34,4.36,450805.74,197909.40899999999,4.346,4.277999999999999,4.186499999999999,4.155666666666668,
20190222,4.34,4.42,4.29,4.41,423211.85,184050.38,4.3740000000000006,4.306999999999999,4.195999999999999,4.1673333333333344,
20190225,4.46,4.85,4.46,4.85,1370194.37,646968.7220000001,4.47,4.373999999999999,4.227999999999999,4.190666666666668,
20190226,4.94,5.1,4.81,4.96,1678039.17,833999.9870000001,4.5920000000000005,4.450999999999999,4.269499999999999,4.219666666666668,
20190227,4.86,5.0,4.8,4.87,904655.18,444143.705,4.69,4.511999999999999,4.306499999999999,4.246000000000001,
20190228,4.91,5.0,4.79,4.85,606649.01,296304.772,4.788000000000001,4.566999999999999,4.342999999999998,4.272333333333335,
20190301,4.89,4.91,4.77,4.9,520622.38,251979.818,4.886000000000001,4.63,4.383999999999999,4.299333333333335,
20190304,4.98,5.11,4.93,5.04,1181058.93,592916.73,4.924000000000001,4.697,4.4334999999999996,4.331666666666668,
20190305,4.98,5.09,4.94,5.09,805151.74,402685.157,4.950000000000001,4.771,4.4879999999999995,4.364000000000002,
20190306,5.1,5.3,5.07,5.19,1050569.19,543331.476,5.014000000000001,4.851999999999999,4.548499999999999,4.400000000000001,
20190307,5.11,5.57,5.11,5.38,1405464.47,751203.685,5.12,4.954,4.615999999999999,4.442333333333334,
20190308,5.22,5.31,4.98,4.98,1270126.78,654344.848,5.136,5.011,4.658999999999999,4.467666666666667,
20190311,4.99,5.15,4.99,5.14,649216.18,330168.30199999997,5.156000000000001,5.04,4.706999999999999,4.498666666666666,
20190312,5.19,5.28,5.07,5.15,682649.61,353225.033,5.168,5.058999999999999,4.755,4.532666666666667,
20190313,5.21,5.28,5.09,5.12,744431.33,386211.624,5.154,5.084,4.798,4.565666666666667,
20190314,5.06,5.19,4.91,4.97,576348.61,289604.78,5.072,5.095999999999999,4.8315,4.593999999999999,
20190315,4.97,5.08,4.97,5.03,439131.11,220274.937,5.082,5.109,4.8695,4.625666666666666,
20190318,5.06,5.18,5.05,5.18,551937.45,282862.872,5.09,5.122999999999999,4.909999999999999,4.663333333333332,
20190319,5.21,5.22,5.09,5.13,459759.63,235873.673,5.086,5.127,4.949,4.700999999999999,
20190320,5.12,5.14,5.02,5.11,442216.7,224510.924,5.084,5.119,4.9855,4.738666666666666,
20190321,5.15,5.2,5.1,5.17,618984.34,319702.309,5.124,5.098,5.026,4.776666666666666,
20190322,5.15,5.15,5.05,5.13,444524.37,226797.63600000003,5.143999999999999,5.1129999999999995,5.061999999999999,4.8103333333333325,
20190325,5.06,5.08,4.98,4.99,498080.86,250605.09100000001,5.105999999999999,5.098,5.069,4.837333333333333,
20190326,5.0,5.04,4.85,4.88,395880.55,195252.771,5.055999999999999,5.071,5.0649999999999995,4.860333333333332,
20190327,4.92,4.93,4.84,4.89,284473.34,138859.745,5.011999999999999,5.048,5.066,4.881333333333332,
