trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,6.93,7.06,6.75,6.8,5897.0,4067.777,,,,,
20190103,6.78,6.91,6.7,6.77,6521.0,4427.677,,,,,
20190104,6.77,6.98,6.63,6.98,11298.19,7773.919,,,,,
20190107,6.99,7.11,6.98,7.09,10988.7,7752.821,,,,,
20190108,7.08,7.13,7.0,7.06,4885.71,3448.472,6.94,,,,
20190109,7.06,7.14,7.05,7.06,8817.0,6254.793000000001,6.992000000000002,,,,
20190110,7.06,7.44,7.0,7.36,26257.27,19090.186999999998,7.110000000000002,,,,
20190111,7.34,7.4,7.18,7.4,19130.41,13887.523000000001,7.194000000000003,,,,
20190114,7.36,7.37,7.06,7.06,16502.27,11828.063999999998,7.188000000000002,,,,
20190115,7.18,7.54,7.07,7.27,19745.0,14239.965,7.230000000000001,7.085000000000001,,,
20190116,7.18,7.75,7.16,7.42,39627.07,29445.78,7.302000000000001,7.147000000000001,,,
20190117,7.39,7.77,7.29,7.53,52052.06,39103.95,7.336000000000001,7.223000000000002,,,
20190118,7.5,7.5,7.24,7.29,36825.07,27082.424,7.314000000000002,7.254000000000002,,,
20190121,7.31,7.34,7.14,7.18,23859.59,17183.096,7.338000000000001,7.263000000000003,,,
20190122,7.18,7.19,7.0,7.02,18778.0,13306.351999999999,7.288000000000002,7.259000000000002,,,
20190123,7.04,7.08,6.92,6.94,19405.01,13530.768,7.192000000000002,7.247000000000002,,,
20190124,6.98,6.98,6.83,6.88,20801.01,14355.358999999999,7.062000000000002,7.199000000000001,,,
20190125,6.86,6.95,6.78,6.81,15787.08,10830.214,6.966000000000003,7.140000000000001,,,
20190128,6.87,6.93,6.64,6.66,22011.08,14891.561000000002,6.862000000000002,7.1,,,
20190129,6.68,6.69,6.39,6.57,15852.33,10361.206,6.772000000000003,7.029999999999999,7.0575,,
20190130,6.59,6.84,6.56,6.69,14114.0,9414.483,6.722000000000003,6.956999999999999,7.052,,
20190131,6.69,6.77,6.56,6.63,11464.37,7612.794,6.672000000000002,6.866999999999999,7.044999999999999,,
20190201,6.66,6.79,6.63,6.77,11089.0,7451.888000000001,6.6640000000000015,6.814999999999998,7.0344999999999995,,
20190211,6.78,6.88,6.77,6.88,15159.08,10361.942,6.708000000000001,6.784999999999997,7.023999999999999,,
20190212,6.88,7.03,6.86,6.96,20859.97,14479.725,6.786000000000001,6.778999999999996,7.019,,
20190213,6.98,7.05,6.91,7.04,27356.32,19132.429,6.856000000000002,6.788999999999997,7.017999999999999,,
20190214,7.05,7.09,7.01,7.02,17730.01,12478.705,6.934000000000002,6.802999999999997,7.0009999999999994,,
20190215,7.02,7.14,6.97,7.05,22928.0,16148.152,6.99,6.826999999999996,6.983499999999999,,
20190218,7.07,7.31,7.07,7.25,37730.64,27086.537999999997,7.064,6.8859999999999975,6.992999999999999,,
20190219,7.75,7.97,7.46,7.62,119652.77,92364.47,7.196,6.990999999999997,7.010499999999999,7.035333333333335,
20190220,7.53,7.53,7.32,7.42,60543.16,44763.209,7.272,7.063999999999997,7.010499999999999,7.056,
20190221,7.38,7.43,7.25,7.27,53548.82,39309.235,7.322,7.1279999999999974,6.9975,7.072666666666667,
20190222,7.27,7.41,7.2,7.4,34433.03,25292.666,7.392,7.190999999999998,7.003,7.086666666666668,
20190225,7.49,7.69,7.42,7.64,64364.14,48724.419,7.470000000000001,7.266999999999999,7.025999999999999,7.105,
20190226,7.68,7.79,7.56,7.63,64714.29,49641.718,7.472000000000001,7.333999999999999,7.056499999999998,7.124,
20190227,7.6,7.7,7.48,7.56,37546.54,28566.807,7.500000000000002,7.385999999999998,7.087499999999999,7.140666666666666,
20190228,7.52,7.69,7.52,7.64,31183.75,23806.957000000002,7.574000000000001,7.447999999999999,7.125499999999998,7.1499999999999995,
20190301,7.63,7.7,7.52,7.61,21787.34,16536.626,7.616000000000001,7.504,7.165499999999999,7.156999999999999,
20190304,7.62,7.76,7.61,7.67,59597.82,45794.551,7.622000000000002,7.545999999999999,7.215999999999998,7.1773333333333325,
20190305,7.63,7.77,7.61,7.77,36641.71,28179.168999999998,7.650000000000001,7.560999999999998,7.275999999999999,7.193999999999999,
20190306,7.77,7.89,7.71,7.89,50406.26,39353.344,7.716000000000001,7.607999999999999,7.3359999999999985,7.209666666666665,
20190307,7.84,8.19,7.81,8.02,60404.53,47994.52099999999,7.792000000000002,7.682999999999998,7.405499999999999,7.225999999999999,
20190308,7.91,7.92,7.5,7.52,50118.35,38872.074,7.774000000000001,7.694999999999998,7.443,7.233666666666666,
20190311,7.52,7.76,7.52,7.75,45320.92,34723.582,7.790000000000001,7.705999999999998,7.4864999999999995,7.252666666666666,
20190312,7.82,8.22,7.82,8.05,95162.96,76481.412,7.846000000000001,7.7479999999999976,7.5409999999999995,7.287,
20190313,8.08,8.15,7.86,7.91,53679.54,42943.706,7.85,7.782999999999997,7.5845,7.319333333333333,
20190314,7.9,7.97,7.65,7.76,31660.1,24613.432999999997,7.797999999999999,7.794999999999997,7.621499999999999,7.348666666666666,
20190315,7.83,8.1,7.78,7.9,56008.83,44499.955,7.873999999999998,7.823999999999998,7.663999999999999,7.385,
