trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,5.27,5.32,5.15,5.16,114177.13,59436.844000000005,,,,,
20190103,5.11,5.33,5.11,5.19,188842.62,98446.099,,,,,
20190104,5.08,5.51,5.05,5.45,299362.75,160087.28,,,,,
20190107,5.4,5.65,5.38,5.59,318278.03,175522.246,,,,,
20190108,5.52,5.55,5.42,5.48,221112.28,121248.674,5.3740000000000006,,,,
20190109,5.53,5.77,5.49,5.58,360725.56,202072.978,5.458,,,,
20190110,5.55,5.63,5.43,5.48,241244.5,133010.58800000002,5.516,,,,
20190111,5.49,5.53,5.43,5.5,161181.63,88343.531,5.526,,,,
20190114,5.46,5.49,5.31,5.36,159872.26,86201.775,5.48,,,,
20190115,5.39,5.47,5.32,5.46,152977.81,82845.71,5.476,5.425000000000001,,,
20190116,5.46,5.56,5.42,5.43,168149.94,92129.677,5.446000000000001,5.452000000000001,,,
20190117,5.4,5.42,5.25,5.25,203131.5,107639.99699999999,5.4,5.458000000000001,,,
20190118,5.28,5.32,5.21,5.29,146311.61,77139.16900000001,5.358000000000001,5.442000000000001,,,
20190121,5.28,5.35,5.25,5.29,140477.08,74484.947,5.344000000000001,5.412000000000001,,,
20190122,5.28,5.28,5.08,5.1,191187.15,98753.011,5.272000000000001,5.3740000000000006,,,
20190123,5.09,5.19,5.06,5.16,138718.02,71334.171,5.218000000000002,5.332000000000001,,,
20190124,5.16,5.28,5.13,5.23,163098.28,84979.118,5.214000000000001,5.307,,,
20190125,5.25,5.27,5.11,5.12,163069.0,84606.84800000001,5.1800000000000015,5.269,,,
20190128,5.17,5.24,5.09,5.23,160572.9,83053.306,5.168000000000002,5.256,,,
20190129,5.2,5.24,4.99,5.15,194545.63,99964.022,5.178000000000002,5.225,5.325000000000001,,
20190130,5.03,5.12,4.85,4.89,214451.5,106844.98599999999,5.124000000000001,5.171,5.311500000000001,,
20190131,4.93,4.98,4.64,4.86,207725.94,100128.864,5.050000000000002,5.132,5.295000000000002,,
20190201,4.83,4.97,4.82,4.95,131576.98,64558.619000000006,5.016000000000001,5.098000000000001,5.270000000000001,,
20190211,4.97,5.13,4.94,5.1,176290.35,89059.59199999999,4.990000000000001,5.079000000000001,5.245500000000002,,
20190212,5.09,5.46,5.06,5.37,363022.22,189740.576,5.034000000000002,5.106,5.240000000000001,,
20190213,5.3,5.51,5.27,5.47,442920.27,239633.89899999998,5.150000000000001,5.1370000000000005,5.2345000000000015,,
20190214,5.42,6.0,5.39,5.78,727706.28,414040.311,5.334000000000001,5.192,5.249500000000001,,
20190215,5.68,5.85,5.52,5.55,566339.62,319231.445,5.4540000000000015,5.235,5.252000000000001,,
20190218,5.6,5.73,5.57,5.7,415853.66,235568.82100000003,5.574000000000001,5.282000000000001,5.269000000000001,,
20190219,5.7,5.97,5.64,5.81,582403.18,336877.409,5.662000000000001,5.348000000000001,5.286500000000002,5.332666666666667,
20190220,5.83,5.95,5.74,5.91,437924.39,255733.11,5.750000000000002,5.450000000000001,5.310500000000002,5.357666666666668,
20190221,5.86,6.05,5.67,5.75,525836.82,307977.25,5.7440000000000015,5.5390000000000015,5.3355000000000015,5.376333333333334,
20190222,5.76,6.08,5.75,6.06,676252.4,401982.214,5.846000000000002,5.650000000000001,5.374000000000001,5.396666666666667,
20190225,6.26,6.44,5.91,6.31,861667.4,531408.869,5.968000000000002,5.771000000000002,5.425000000000002,5.420666666666667,
20190226,6.16,6.65,6.06,6.26,857544.13,540722.7370000001,6.058000000000002,5.860000000000001,5.483000000000002,5.446666666666668,
20190227,6.18,6.37,6.11,6.2,487087.97,304041.107,6.116000000000001,5.933000000000002,5.535000000000002,5.467333333333333,
20190228,6.23,6.55,6.16,6.4,561176.22,356698.779,6.246000000000002,5.995000000000002,5.593500000000002,5.498000000000001,
20190301,6.33,6.41,6.12,6.27,409123.67,255545.35199999998,6.288000000000003,6.067000000000002,5.651000000000002,5.523666666666668,
20190304,6.3,6.64,6.2,6.62,776378.32,502824.62899999996,6.350000000000003,6.159000000000002,5.720500000000002,5.565666666666668,
20190305,6.5,6.73,6.45,6.68,614081.07,403731.521,6.434000000000005,6.246,5.7970000000000015,5.6063333333333345,
20190306,6.72,7.04,6.55,6.95,755924.19,516873.521,6.584000000000005,6.350000000000001,5.900000000000001,5.657,
20190307,6.92,7.48,6.8,7.23,763235.39,543824.49,6.750000000000004,6.498000000000002,6.018500000000001,5.723,
20190308,6.83,7.07,6.63,6.7,572868.22,394986.041,6.836000000000004,6.562000000000002,6.106000000000002,5.77,
20190311,6.78,7.15,6.64,7.11,526842.63,364451.75299999997,6.934000000000005,6.642000000000001,6.206500000000003,5.8306666666666676,
20190312,7.15,7.82,7.12,7.75,1068645.35,818494.8620000001,7.148000000000005,6.791000000000001,6.325500000000003,5.9190000000000005,
20190313,7.4,7.6,7.0,7.2,607957.49,449207.7,7.198000000000005,6.891000000000001,6.412000000000002,5.987,
20190314,7.11,7.18,6.56,6.7,439492.45,298093.00399999996,7.092000000000004,6.921000000000001,6.458000000000001,6.0360000000000005,
20190315,6.76,6.98,6.63,6.8,329975.09,224198.218,7.112000000000004,6.974000000000001,6.520500000000001,6.0920000000000005,
20190318,6.83,7.38,6.78,7.3,570546.51,408585.66,7.150000000000003,7.042,6.600500000000002,6.161000000000001,
20190319,7.3,7.8,7.18,7.54,517230.37,384470.614,7.108000000000002,7.128,6.687000000000002,6.240666666666668,
20190320,7.69,8.1,7.57,7.74,533403.4,417618.723,7.216000000000003,7.206999999999999,6.778500000000003,6.335666666666668,
20190321,7.87,8.27,7.6,8.03,525668.04,417264.223,7.482000000000002,7.286999999999999,6.892500000000003,6.4413333333333345,
20190322,7.95,8.46,7.75,8.19,439736.24,355252.28,7.7600000000000025,7.435999999999998,6.999000000000002,6.549333333333335,
20190325,7.96,8.69,7.91,8.47,456307.35,382006.141,7.994000000000002,7.571999999999998,7.107000000000002,6.661666666666668,
20190326,8.45,8.75,8.19,8.3,421488.38,355553.149,8.146000000000003,7.626999999999998,7.209000000000003,6.759333333333335,
20190327,8.43,8.55,7.56,8.2,390003.31,313916.235,8.238000000000001,7.7269999999999985,7.309000000000003,6.850333333333335,
