trade_date,open,high,low,close,vol,amount,ma5,ma10,ma20,ma30,ma60
20190102,26.02,26.19,25.6,25.7,8780.13,22667.525,,,,,
20190103,25.72,25.92,25.13,25.19,11456.5,29233.365,,,,,
20190104,25.0,25.57,24.85,25.54,13674.11,34568.511,,,,,
20190107,25.75,26.1,25.61,26.08,14620.93,37898.01,,,,,
20190108,25.9,25.99,25.75,25.83,8258.27,21334.127,25.668,,,,
20190109,25.85,26.34,25.85,25.91,14203.39,37072.691,25.71,,,,
20190110,25.86,26.06,25.77,25.9,7706.59,19934.076,25.852000000000004,,,,
20190111,26.0,26.16,25.9,26.09,8209.44,21365.292999999998,25.962000000000007,,,,
20190114,26.13,26.13,25.65,25.68,8284.35,21373.604,25.882000000000005,,,,
20190115,25.8,26.81,25.66,26.72,22507.4,59217.373,26.060000000000002,25.863999999999997,,,
20190116,26.66,26.66,26.14,26.42,18773.26,49422.801,26.162000000000006,25.936,,,
20190117,26.41,26.44,26.09,26.12,9764.76,25663.41,26.206000000000007,26.029000000000003,,,
20190118,26.18,26.65,26.18,26.58,17975.45,47582.932,26.304000000000002,26.133,,,
20190121,26.53,27.25,26.53,26.9,24891.23,66994.296,26.548000000000002,26.214999999999996,,,
20190122,26.92,26.92,26.34,26.5,12101.88,32125.889,26.504,26.282,,,
20190123,26.35,26.65,26.33,26.57,9399.28,24915.01,26.534000000000002,26.347999999999995,,,
20190124,26.6,26.68,26.29,26.61,10261.81,27251.871,26.632000000000005,26.419,,,
20190125,26.61,26.9,26.4,26.6,13141.21,35081.156,26.636000000000003,26.470000000000006,,,
20190128,26.67,27.16,26.65,26.83,16149.2,43437.111,26.621999999999996,26.585,,,
20190129,26.7,26.83,26.2,26.43,12089.08,31919.403,26.607999999999997,26.556000000000004,26.209999999999997,,
20190130,26.43,26.56,25.91,25.92,10878.78,28534.382999999998,26.477999999999998,26.506000000000007,26.220999999999993,,
20190131,26.01,26.37,25.85,26.02,11500.96,30033.113999999998,26.360000000000003,26.496000000000002,26.26249999999999,,
20190201,26.06,26.66,26.06,26.64,10718.79,28361.308999999997,26.368000000000002,26.502000000000002,26.31749999999999,,
20190211,26.55,27.62,26.49,27.43,22079.17,60004.199,26.488,26.555000000000007,26.384999999999984,,
20190212,27.33,27.7,27.22,27.67,26321.29,72350.913,26.736,26.672000000000008,26.476999999999983,,
20190213,27.67,28.0,27.52,27.91,27644.3,76633.504,27.134000000000004,26.80600000000001,26.57699999999998,,
20190214,27.9,28.24,27.8,28.1,26644.09,74683.617,27.55,26.955000000000013,26.686999999999983,,
20190215,28.0,28.04,27.45,27.57,23516.97,65266.75,27.736,27.05200000000001,26.760999999999985,,
20190218,27.66,28.26,27.66,28.26,26328.44,73783.526,27.901999999999997,27.19500000000001,26.889999999999986,,
20190219,28.2,28.48,27.77,27.9,23730.0,66649.915,27.948,27.342000000000006,26.948999999999984,26.587333333333326,
20190220,27.94,28.26,27.67,27.88,19452.58,54267.081,27.942,27.538000000000004,27.021999999999984,26.65999999999999,
20190221,27.95,28.21,27.85,27.89,23722.68,66480.899,27.900000000000006,27.725000000000005,27.110499999999984,26.74999999999999,
20190222,27.89,28.1,27.57,28.0,20397.29,56748.950999999994,27.986000000000008,27.861000000000008,27.181499999999982,26.83199999999999,
20190225,28.19,29.27,28.04,29.26,40668.79,116817.689,28.186000000000007,28.044000000000004,27.299499999999984,26.937999999999988,
20190226,29.27,29.7,28.8,29.33,37729.66,110214.02,28.47200000000001,28.21,27.440999999999985,27.054666666666655,
20190227,29.28,30.29,29.2,29.62,44158.73,131605.05800000002,28.82000000000001,28.381,27.593499999999985,27.178333333333324,
20190228,29.54,29.88,29.2,29.46,21346.73,63097.600999999995,29.134000000000015,28.516999999999996,27.735999999999983,27.29699999999999,
20190301,29.5,30.13,29.17,29.81,26876.2,79725.494,29.496000000000016,28.740999999999996,27.896499999999982,27.42099999999999,
20190304,29.83,30.49,29.3,29.9,46846.88,140693.355,29.624000000000017,28.904999999999994,28.049999999999976,27.561666666666657,
20190305,30.0,30.44,29.81,30.41,34868.86,105367.0,29.84000000000002,29.156,28.248999999999977,27.684666666666654,
