ts_code,trade_date,open,high,low,close,vol,amount
002090.SZ,20190102,16.83,16.9,16.33,16.36,5047.12,8379.259
002090.SZ,20190103,16.59,16.85,16.17,16.72,7165.0,11974.445
002090.SZ,20190104,16.67,16.99,16.32,16.94,5935.59,9977.09
002090.SZ,20190107,17.08,17.54,16.72,17.51,10172.28,17616.031
002090.SZ,20190108,17.35,17.83,17.34,17.49,6657.0,11654.982
002090.SZ,20190109,17.31,17.73,17.23,17.39,9095.58,15919.785
002090.SZ,20190110,17.24,17.39,16.06,17.0,9113.0,15426.964
002090.SZ,20190111,17.19,17.5,16.9,17.42,7272.36,12502.0
002090.SZ,20190114,17.33,17.33,16.41,16.86,9872.35,16577.275
002090.SZ,20190115,16.86,16.99,16.3,16.56,16316.0,27067.45
002090.SZ,20190116,16.52,16.85,16.43,16.66,8027.0,13356.504
002090.SZ,20190117,16.66,16.8,16.38,16.48,9405.0,15591.348
002090.SZ,20190118,16.7,16.72,16.05,16.43,7466.88,12218.194
002090.SZ,20190121,16.81,16.85,16.48,16.79,7498.94,12560.246
002090.SZ,20190122,16.63,16.68,16.29,16.4,8239.71,13506.521
002090.SZ,20190123,16.33,16.4,16.11,16.37,4884.65,7944.678
002090.SZ,20190124,16.28,16.52,16.14,16.4,4695.0,7689.896
002090.SZ,20190125,16.42,17.0,16.32,16.99,11717.92,19721.538
002090.SZ,20190128,16.99,17.66,16.98,17.35,20093.18,35112.655
002090.SZ,20190129,17.35,17.56,16.72,17.51,13735.16,23704.024
002090.SZ,20190130,17.56,17.76,17.25,17.68,9793.16,17279.54
002090.SZ,20190131,17.82,18.06,17.5,17.89,12863.6,22916.631
002090.SZ,20190201,18.0,18.74,17.87,18.7,19134.7,35354.78
002090.SZ,20190211,18.46,18.8,18.39,18.57,9704.01,17976.128
002090.SZ,20190212,18.4,18.53,18.09,18.27,18032.25,32909.793
002090.SZ,20190213,18.33,18.34,18.03,18.28,13667.0,24885.286
002090.SZ,20190214,18.16,18.25,17.93,17.97,16659.03,30052.575
002090.SZ,20190215,18.11,18.11,17.8,17.88,13180.01,23619.091
002090.SZ,20190218,17.89,18.25,17.62,18.2,15739.0,28434.94
002090.SZ,20190219,18.2,18.2,17.68,17.98,16615.07,29797.824
002090.SZ,20190220,18.15,18.15,17.75,17.98,9981.8,17878.879
002090.SZ,20190221,17.85,18.13,17.66,17.72,14276.81,25599.647
002090.SZ,20190222,17.69,18.12,17.61,18.12,10966.81,19727.443
002090.SZ,20190225,18.13,18.98,17.7,18.74,37590.14,69037.691
002090.SZ,20190226,18.61,18.95,18.36,18.66,28183.68,52432.575
002090.SZ,20190227,18.66,18.72,18.34,18.4,22359.54,41409.993
002090.SZ,20190228,18.03,18.38,17.71,18.07,18746.52,33927.381
002090.SZ,20190301,18.08,19.28,18.07,19.26,32213.83,60257.522
002090.SZ,20190304,19.31,19.6,18.78,19.12,43466.71,83391.667
002090.SZ,20190305,19.12,19.22,18.61,18.98,33976.12,64058.915
002090.SZ,20190306,18.99,19.3,18.82,19.11,30811.48,58852.327
002090.SZ,20190307,19.09,19.23,18.77,19.13,25480.04,48379.509
002090.SZ,20190308,19.3,20.55,19.06,19.85,58280.62,115536.977
002090.SZ,20190311,21.84,21.84,21.84,21.84,14238.59,31097.08
002090.SZ,20190312,24.02,24.02,24.02,24.02,54298.43,130424.828
002090.SZ,20190313,26.42,26.42,25.02,25.4,247366.15,642278.739
002090.SZ,20190314,23.5,24.3,22.86,22.86,60222.0,141227.873
002090.SZ,20190315,22.7,22.79,21.41,22.25,95998.27,212806.469
002090.SZ,20190318,22.25,22.56,21.58,22.32,49781.97,109479.144
002090.SZ,20190319,22.2,22.83,21.69,22.02,61767.81,136909.802
002090.SZ,20190320,22.0,22.02,21.0,21.56,46833.84,100922.434
002090.SZ,20190321,21.73,22.6,21.57,22.05,63415.27,140996.651
002090.SZ,20190322,22.01,22.44,21.84,22.38,39162.83,87133.518
002090.SZ,20190325,21.89,22.32,21.45,21.62,35713.8,78091.13
002090.SZ,20190326,21.61,21.97,21.38,21.68,27935.44,60347.393
002090.SZ,20190327,21.78,21.88,21.26,21.6,19458.98,42017.765
002090.SZ,20190328,21.57,21.83,21.33,21.46,19334.52,41675.61
002090.SZ,20190329,21.46,21.84,20.5,21.8,38231.24,81301.833
002090.SZ,20190401,22.02,22.66,22.01,22.47,44730.94,100187.118
002090.SZ,20190402,22.48,24.33,22.47,23.46,73302.84,171757.438
002090.SZ,20190403,23.4,23.91,23.03,23.6,33422.56,78394.003
002090.SZ,20190404,23.59,24.1,22.84,22.85,40504.0,93626.938
002090.SZ,20190408,22.86,23.2,22.0,22.13,28466.73,63900.532
002090.SZ,20190409,22.14,22.42,21.78,22.36,19210.01,42511.527
002090.SZ,20190410,22.36,22.36,21.88,21.91,18799.57,41324.038
002090.SZ,20190411,22.0,22.34,21.61,21.7,17936.0,39279.934
002090.SZ,20190412,21.75,22.66,21.71,22.33,26004.29,57831.078
002090.SZ,20190415,22.7,22.88,21.94,21.98,23412.15,52190.94
002090.SZ,20190416,22.0,22.05,21.51,22.0,24512.14,53357.141
002090.SZ,20190417,21.8,22.17,21.74,21.97,16965.37,37303.315
002090.SZ,20190418,21.84,22.05,21.27,21.64,25040.43,54086.652
002090.SZ,20190419,21.61,21.77,21.23,21.23,19285.0,41285.342
002090.SZ,20190422,21.33,21.52,21.12,21.16,14053.0,29892.069
002090.SZ,20190423,21.06,21.59,21.06,21.58,22646.36,48625.286
002090.SZ,20190424,21.59,21.82,21.29,21.78,16179.0,34825.907
002090.SZ,20190425,21.77,22.87,21.61,22.01,50372.55,112931.527
002090.SZ,20190426,22.2,22.85,22.0,22.5,45642.91,102431.684
002090.SZ,20190429,22.6,22.6,20.25,20.89,32264.73,68327.404
002090.SZ,20190430,20.38,20.87,20.03,20.24,21063.0,42973.506
002090.SZ,20190506,19.99,20.0,18.22,18.22,23212.0,43384.466
002090.SZ,20190507,18.08,19.3,18.08,19.14,20699.0,38820.557
002090.SZ,20190508,18.89,19.6,18.63,18.93,14812.0,28499.227
002090.SZ,20190509,18.7,19.38,18.3,18.51,12409.0,23291.055
002090.SZ,20190510,18.8,19.38,18.22,19.24,22957.06,43613.221
002090.SZ,20190513,19.2,20.28,18.99,20.28,34568.95,69153.101
002090.SZ,20190514,20.1,20.12,19.6,19.63,23536.0,46616.005
002090.SZ,20190515,19.67,20.0,19.64,19.87,15150.0,30026.133
002090.SZ,20190516,19.9,19.9,19.58,19.88,15111.0,29787.053
002090.SZ,20190517,19.7,19.91,18.43,18.88,17556.0,33758.802
002090.SZ,20190520,18.86,18.86,18.05,18.72,16910.0,31088.523
002090.SZ,20190521,18.8,19.46,18.53,19.37,12722.22,24328.693
002090.SZ,20190522,19.4,19.51,19.0,19.2,8057.0,15505.221
002090.SZ,20190523,19.3,19.3,18.6,18.62,8081.67,15275.699
002090.SZ,20190524,18.91,19.22,18.49,18.9,13157.88,24784.983
002090.SZ,20190527,18.89,19.34,18.67,19.29,12325.39,23484.352
002090.SZ,20190528,19.29,20.38,19.25,20.1,26689.3,52994.132
002090.SZ,20190529,20.0,20.58,19.67,20.34,27651.47,56080.056
002090.SZ,20190530,20.95,20.99,19.85,20.18,32242.54,65607.425
002090.SZ,20190531,11.8,12.25,11.6,11.8,44768.58,53313.097
002090.SZ,20190603,11.58,11.77,10.62,10.72,87200.73,94456.739
002090.SZ,20190604,10.72,10.79,10.18,10.2,44153.71,46159.492
002090.SZ,20190605,10.34,10.44,10.11,10.18,35409.02,36373.496
002090.SZ,20190606,10.18,10.28,9.16,9.4,105250.68,98783.01
002090.SZ,20190610,9.3,9.44,9.08,9.32,46524.31,43111.201
002090.SZ,20190611,9.29,10.25,9.2,10.25,86899.08,86612.114
002090.SZ,20190612,10.33,10.68,10.08,10.34,86358.3,89127.896
002090.SZ,20190613,10.39,10.67,10.1,10.59,59524.86,62359.658
002090.SZ,20190614,10.8,11.65,10.68,10.79,116312.55,128482.906
002090.SZ,20190617,10.6,10.69,9.71,10.32,59229.14,60550.928
002090.SZ,20190618,10.37,10.41,10.05,10.11,48417.35,49212.115
002090.SZ,20190619,10.3,10.77,10.3,10.47,68050.41,71519.438
002090.SZ,20190620,10.52,10.88,10.37,10.87,65782.55,70671.313
002090.SZ,20190621,10.81,11.83,10.72,11.4,98399.61,110494.261
002090.SZ,20190624,11.4,11.8,11.0,11.6,94986.55,107214.735
002090.SZ,20190625,11.8,12.76,11.6,12.76,361675.44,453694.349
002090.SZ,20190626,12.0,12.46,11.71,11.76,289845.22,347131.518
002090.SZ,20190627,11.53,11.99,11.38,11.83,141585.82,165214.557
002090.SZ,20190628,11.76,12.38,11.5,11.8,140313.16,168227.88
002090.SZ,20190701,12.18,12.26,11.9,12.13,158845.06,192011.426
002090.SZ,20190702,11.93,12.05,11.7,11.7,100576.43,118605.941
002090.SZ,20190703,11.81,12.02,11.62,11.72,87386.86,103521.877
002090.SZ,20190704,11.96,12.28,11.69,11.82,116383.58,139424.142
002090.SZ,20190705,11.5,11.54,10.7,11.33,119495.98,133977.675
002090.SZ,20190708,11.45,11.45,10.78,10.8,87930.02,97225.837
002090.SZ,20190709,10.88,11.08,10.8,10.98,59272.75,64838.894
002090.SZ,20190710,11.25,12.08,11.24,11.83,185072.16,217714.454
002090.SZ,20190711,11.56,11.98,11.4,11.98,141845.18,165299.704
002090.SZ,20190712,11.82,12.02,11.62,11.72,96046.14,112917.76
002090.SZ,20190715,11.58,11.68,11.1,11.58,82949.34,95027.553
002090.SZ,20190716,11.6,11.6,11.3,11.47,65415.32,74734.249
002090.SZ,20190717,11.39,11.58,11.23,11.23,69151.59,78763.376
002090.SZ,20190718,11.22,11.22,10.7,10.86,63031.45,68761.858
002090.SZ,20190719,10.86,10.98,10.71,10.75,50471.27,54670.167
002090.SZ,20190722,10.75,10.85,10.12,10.19,55281.62,56811.025
002090.SZ,20190723,10.1,10.39,10.07,10.37,38077.02,38876.396
002090.SZ,20190724,10.38,10.73,10.38,10.46,57264.24,60398.512
002090.SZ,20190725,10.64,10.89,10.59,10.68,63743.4,68122.096
002090.SZ,20190726,10.23,10.61,10.23,10.55,40856.3,42877.903
002090.SZ,20190729,10.6,10.66,10.43,10.49,36485.32,38427.818
002090.SZ,20190730,10.55,10.67,10.48,10.58,38473.94,40691.897
002090.SZ,20190731,10.66,10.77,10.51,10.54,44946.45,47758.841
002090.SZ,20190801,10.42,10.43,10.26,10.32,39749.48,41061.995
002090.SZ,20190802,9.95,10.12,9.8,10.06,41425.05,41432.874
002090.SZ,20190805,10.09,10.24,9.99,10.02,33889.39,34161.098
002090.SZ,20190806,9.91,9.91,9.3,9.7,47573.49,45747.245
002090.SZ,20190807,9.73,9.83,9.38,9.41,34540.4,33160.076
002090.SZ,20190808,9.47,9.73,9.47,9.7,43141.63,41666.177
