trade_date,open,high,low,close,vol,amount
20210115,5.87,5.96,5.87,5.95,24709.4,14627.034
20210114,6.0,6.03,5.85,5.86,53225.3,31435.108
20210113,6.16,6.16,5.95,6.0,47711.04,28712.606
20210112,6.06,6.21,6.0,6.16,39919.83,24498.519
20210111,6.05,6.1,5.99,6.07,63851.35,38687.696
20210108,6.13,6.13,5.9,6.06,63602.41,38393.845
20210107,6.11,6.16,6.03,6.15,78555.0,47918.731
20210106,6.19,6.23,6.08,6.1,59249.78,36306.02
20210105,6.31,6.32,6.12,6.21,77821.3,48408.127
20210104,6.25,6.42,6.24,6.35,74480.31,47180.508
20201231,6.38,6.44,6.29,6.29,93032.3,58914.851
20201230,6.41,6.56,6.32,6.4,85044.79,54637.16
20201229,6.51,6.65,6.35,6.39,162311.94,104620.225
20201228,7.0,7.3,6.72,6.85,318352.13,223177.331
20201225,6.67,6.67,6.67,6.67,51828.0,34569.276
20201224,6.18,6.19,6.01,6.06,35078.1,21325.293
20201223,6.11,6.26,6.1,6.21,25047.1,15509.825
20201222,6.19,6.35,6.1,6.1,46091.5,28715.361
20201221,6.08,6.21,6.07,6.19,26266.0,16183.273
20201218,6.16,6.23,6.08,6.08,25287.42,15553.393
20201217,6.04,6.2,5.97,6.18,35338.6,21581.482
20201216,6.27,6.27,6.05,6.06,41522.81,25446.337
20201215,6.27,6.36,6.16,6.25,26051.91,16199.036
20201214,6.3,6.36,6.18,6.27,25967.08,16255.803
20201211,6.54,6.54,6.21,6.3,63535.49,40227.654
20201210,6.56,6.6,6.46,6.5,28963.35,18920.661
20201209,6.78,6.81,6.55,6.56,37649.5,25043.064
20201208,6.75,6.8,6.72,6.78,24357.4,16481.474
20201207,6.8,6.8,6.7,6.73,23879.6,16090.405
20201204,6.65,6.81,6.5,6.78,40737.9,27333.414
20201203,6.73,6.73,6.6,6.67,51491.73,34197.042
20201202,6.88,6.88,6.73,6.74,39248.2,26568.068
20201201,6.81,6.85,6.74,6.83,41242.2,28069.234
20201130,6.74,6.84,6.7,6.79,47392.9,32187.667
20201127,6.69,6.79,6.65,6.73,40831.0,27433.315
20201126,6.75,6.77,6.66,6.69,44002.7,29499.212
20201125,6.8,6.84,6.75,6.76,35468.6,24097.61
20201124,6.84,6.89,6.77,6.79,38362.57,26201.163
20201123,6.9,6.92,6.73,6.84,74192.5,50574.88
20201120,6.85,6.95,6.8,6.9,46348.2,31884.982
20201119,7.03,7.07,6.86,6.89,88842.18,61559.831
20201118,7.05,7.1,6.99,7.07,44083.65,31056.552
20201117,7.13,7.13,6.98,7.04,73035.86,51319.608
20201116,7.23,7.25,7.07,7.14,63744.5,45507.701
20201113,7.16,7.27,7.07,7.25,79247.2,56866.421
20201112,7.15,7.24,7.1,7.2,51559.34,37049.013
20201111,7.3,7.34,7.1,7.11,89862.8,64590.58
20201110,7.51,7.56,7.31,7.35,93434.4,69291.957
20201109,7.29,7.51,7.28,7.48,169124.33,125231.995
20201106,7.45,7.47,7.2,7.33,142655.7,104246.583
20201105,7.38,7.64,7.34,7.5,181960.28,136488.021
20201104,7.44,7.62,7.27,7.32,161129.36,119528.132
20201103,7.42,7.45,7.33,7.41,144558.64,106747.677
20201102,7.26,7.55,7.21,7.45,294989.12,218504.819
20201030,6.95,7.43,6.89,7.27,278645.96,201104.356
20201029,7.15,7.18,6.9,6.93,147603.3,104334.957
20201028,7.15,7.28,7.0,7.27,114016.51,81768.258
20201027,7.12,7.21,7.03,7.14,65066.34,46249.371
20201026,6.85,7.26,6.77,7.18,139542.83,99001.13
20201023,7.01,7.11,6.83,6.86,65812.06,45802.212
20201022,7.08,7.08,6.94,7.05,54963.78,38535.219
20201021,7.2,7.2,7.0,7.05,70521.5,49856.595
20201020,7.07,7.22,7.05,7.19,79752.53,56938.703
20201019,7.26,7.29,7.05,7.09,105501.8,75482.612
20201016,7.01,7.22,6.95,7.2,125641.53,89638.224
20201015,7.2,7.23,6.93,6.98,100773.49,70915.081
20201014,7.09,7.25,7.05,7.14,142174.09,101556.318
20201013,7.07,7.23,7.0,7.09,122813.26,87272.376
20201012,6.88,7.12,6.88,7.07,135980.7,95778.924
20201009,6.79,6.91,6.75,6.85,54194.8,37100.311
20200930,6.69,6.82,6.65,6.69,37750.41,25368.547
20200929,6.68,6.75,6.61,6.67,29379.7,19670.792
20200928,6.72,6.8,6.68,6.71,42741.08,28847.128
20200925,6.68,6.73,6.55,6.72,47288.07,31410.81
20200924,6.88,6.88,6.66,6.69,81635.46,54924.989
20200923,6.9,6.94,6.82,6.94,65566.04,45045.088
20200922,7.01,7.05,6.86,6.89,113920.01,79146.969
20200921,6.97,7.14,6.88,7.11,152781.15,107781.001
20200918,6.99,7.16,6.89,6.98,122019.24,85260.019
20200917,6.96,6.96,6.75,6.93,100457.71,68593.45
20200916,6.76,7.04,6.67,6.97,132142.21,91414.244
20200915,6.85,6.96,6.72,6.77,79146.7,54197.965
20200914,6.87,7.0,6.77,6.87,93796.0,64587.797
20200911,6.5,6.86,6.48,6.75,100393.05,67296.648
20200910,6.94,7.04,6.52,6.54,119437.76,80304.172
20200909,6.91,7.1,6.85,6.91,126384.46,88302.493
20200908,6.75,7.02,6.64,7.02,119463.44,82104.47
20200907,6.9,6.91,6.71,6.73,78471.36,53536.113
20200904,6.53,6.85,6.48,6.85,98159.09,65958.781
20200903,6.79,6.84,6.61,6.63,73682.0,49343.757
20200902,6.92,6.93,6.75,6.82,86591.9,59005.585
20200901,6.69,6.9,6.65,6.87,115086.9,78526.391
20200831,6.65,6.79,6.65,6.69,106959.32,71841.328
20200828,6.52,6.59,6.5,6.59,43269.06,28346.471
20200827,6.49,6.59,6.43,6.57,49844.27,32440.16
20200826,6.6,6.64,6.45,6.48,61448.76,40181.436
20200825,6.72,6.85,6.59,6.6,66792.0,44661.17
20200824,6.66,6.75,6.56,6.71,59894.27,40013.487
20200821,6.7,6.79,6.62,6.66,71605.0,47916.712
20200820,6.68,6.84,6.64,6.72,83195.49,56102.775
20200819,6.97,6.99,6.69,6.69,136559.78,93224.292
20200818,6.99,7.09,6.88,7.0,146827.85,102220.211
20200817,7.07,7.11,6.82,7.04,191477.19,133381.287
20200814,7.2,7.28,7.02,7.09,184982.9,131994.879
20200813,7.02,7.48,6.87,7.3,301334.61,215480.754
20200812,6.6,7.28,6.42,7.08,284262.28,194899.65
20200811,6.8,6.84,6.58,6.62,127997.08,85570.138
20200810,6.37,7.05,6.35,6.82,227511.95,155077.028
20200807,6.53,6.57,6.36,6.41,64247.51,41283.839
20200806,6.61,6.68,6.46,6.54,69617.07,45532.235
20200805,6.58,6.68,6.45,6.62,94206.17,61909.167
20200804,6.66,6.74,6.51,6.53,94334.75,62132.824
20200803,6.62,6.69,6.5,6.66,131134.33,86828.216
20200731,6.42,6.47,6.32,6.47,87022.06,55809.813
20200730,6.33,6.63,6.3,6.42,145473.51,94267.546
20200729,6.2,6.34,6.11,6.33,65209.9,40790.51
20200728,6.2,6.38,6.2,6.24,72521.24,45656.648
20200727,6.13,6.17,6.04,6.15,46449.73,28309.166
20200724,6.31,6.39,6.11,6.11,69748.0,43444.774
20200723,6.35,6.37,6.12,6.31,66135.06,41265.385
20200722,6.4,6.45,6.32,6.37,58293.84,37262.257
20200721,6.48,6.49,6.34,6.37,58552.44,37537.398
20200720,6.11,6.42,6.11,6.4,81579.98,51538.219
20200717,6.16,6.23,6.06,6.13,63877.9,39183.357
20200716,6.45,6.5,6.12,6.14,95701.83,60403.528
20200715,6.65,6.69,6.4,6.42,116440.8,75800.341
20200714,6.68,6.76,6.47,6.65,122843.34,81314.811
20200713,6.43,6.69,6.35,6.67,141890.49,93467.469
20200710,6.56,6.67,6.44,6.45,127846.9,83791.606
20200709,6.45,6.6,6.41,6.56,136741.81,89217.214
20200708,6.38,6.46,6.3,6.44,124803.51,79691.616
20200707,6.32,6.44,6.26,6.36,135170.68,86046.341
20200706,6.13,6.32,6.12,6.3,122939.02,76832.756
20200703,6.07,6.13,6.06,6.12,62900.65,38357.332
20200702,6.06,6.1,5.95,6.09,66680.08,40156.426
20200701,5.99,6.17,5.99,6.06,81739.28,49737.039
20200630,5.83,6.0,5.83,5.89,35059.3,20806.704
20200629,5.86,5.86,5.75,5.78,28822.6,16668.819
20200624,5.93,5.96,5.84,5.86,26545.49,15599.563
20200623,6.03,6.04,5.92,5.92,38488.7,22967.518
20200622,6.05,6.1,6.01,6.06,36272.62,21988.787
20200619,6.04,6.08,6.01,6.05,25789.6,15578.597
20200618,6.05,6.07,6.0,6.03,28887.41,17449.136
20200617,5.91,6.05,5.89,6.04,33442.9,19981.322
20200616,5.91,5.94,5.88,5.91,25552.2,15081.02
20200615,5.91,5.96,5.85,5.85,27577.4,16283.392
20200612,5.86,5.95,5.79,5.92,32906.7,19359.355
20200611,6.02,6.05,5.97,5.97,30657.78,18417.859
20200610,6.02,6.04,5.98,6.04,23050.1,13836.108
20200609,6.07,6.08,6.01,6.04,28719.95,17336.591
20200608,6.13,6.16,6.02,6.05,33605.25,20438.078
20200605,6.21,6.23,6.07,6.12,35749.9,21880.61
20200604,6.18,6.26,6.09,6.2,45125.92,27853.08
20200603,6.26,6.29,6.15,6.17,49897.4,30910.89
20200602,6.18,6.25,6.1,6.23,67078.7,41542.393
20200601,6.05,6.24,6.02,6.17,89417.01,55107.072
20200529,5.94,6.03,5.9,6.02,38834.5,23218.627
20200528,6.03,6.03,5.86,5.94,35304.16,20918.272
20200527,5.99,6.13,5.97,6.03,54423.73,33006.089
20200526,5.83,6.02,5.78,5.96,54427.5,32241.481
20200525,5.71,5.79,5.66,5.79,25572.5,14668.947
20200522,5.77,5.78,5.62,5.66,34075.53,19406.281
20200521,5.84,5.89,5.76,5.79,33102.3,19252.251
20200520,5.95,5.99,5.84,5.84,32158.1,19003.705
20200519,5.97,6.02,5.93,5.94,25582.8,15245.965
20200518,5.99,6.03,5.86,5.97,31267.51,18569.316
20200515,6.05,6.05,5.95,5.98,26172.9,15661.653
20200514,6.05,6.05,5.97,6.01,29624.92,17812.246
20200513,5.96,6.11,5.9,6.07,39091.0,23679.472
20200512,6.05,6.05,5.9,5.96,33372.55,19857.411
20200511,6.06,6.09,5.98,6.02,38181.9,23003.644
20200508,6.05,6.12,6.0,6.05,49572.4,30037.687
20200507,6.0,6.03,5.94,5.96,40476.0,24193.164
20200506,5.75,5.97,5.7,5.96,47676.57,27998.745
20200430,5.69,5.84,5.68,5.81,55407.3,31929.804
20200429,5.75,5.85,5.66,5.66,43996.5,25234.466
20200428,6.01,6.01,5.46,5.78,114884.95,65839.717
20200427,6.16,6.17,6.0,6.0,65778.53,39963.624
20200424,6.16,6.23,6.06,6.13,67136.21,41215.945
20200423,6.24,6.28,6.11,6.11,72359.4,44650.975
20200422,6.15,6.36,6.1,6.26,71147.89,44438.76
20200421,6.29,6.29,6.12,6.2,66321.46,40973.913
20200420,6.28,6.29,6.2,6.29,53563.6,33507.579
20200417,6.38,6.4,6.23,6.26,93134.8,58633.075
20200416,6.24,6.45,6.23,6.35,92862.4,59027.268
20200415,6.35,6.44,6.27,6.3,116803.84,74206.849
20200414,6.46,6.63,6.39,6.5,92816.9,60308.357
20200413,6.35,6.46,6.23,6.38,69679.84,44323.021
20200410,6.74,6.75,6.43,6.46,151193.97,99129.687
20200409,6.54,6.88,6.47,6.76,228905.61,152743.288
20200408,6.34,6.44,6.28,6.41,107010.54,68048.136
20200407,6.3,6.47,6.24,6.4,144937.22,91959.895
