ts_code,trade_date,open,high,low,close,vol,amount
688585.SH,20200928,20.68,20.68,16.0,16.35,312983.96,552859.01
688585.SH,20200929,16.0,16.15,14.46,14.59,207680.57,314275.545
688585.SH,20200930,14.0,15.05,13.88,14.31,131177.81,187931.941
688585.SH,20201009,15.15,15.29,14.4,14.51,129737.32,191015.659
688585.SH,20201012,14.55,15.38,14.53,15.3,117876.54,176303.187
688585.SH,20201013,15.15,15.4,14.82,15.15,86352.75,129875.829
688585.SH,20201014,15.18,17.14,14.99,15.93,149579.38,240510.411
688585.SH,20201015,15.93,16.16,15.07,15.17,85779.84,132202.646
688585.SH,20201016,15.2,15.3,14.77,14.9,54196.38,80881.859
688585.SH,20201019,14.95,15.36,14.88,14.93,42371.35,63932.581
688585.SH,20201020,15.02,15.28,14.6,15.22,44225.38,65999.186
688585.SH,20201021,15.62,16.47,15.28,15.28,94409.15,148927.187
688585.SH,20201022,14.95,15.28,14.85,14.97,48383.76,72718.731
688585.SH,20201023,15.05,15.19,14.38,14.49,43965.14,65173.038
688585.SH,20201026,14.58,14.74,14.01,14.68,23733.03,34394.828
688585.SH,20201027,14.6,14.88,14.46,14.8,23501.34,34606.344
688585.SH,20201028,14.78,15.07,14.53,14.85,28156.78,41468.093
688585.SH,20201029,14.68,15.25,14.5,15.18,43765.31,64843.788
688585.SH,20201030,15.21,15.38,14.45,14.64,40560.02,60938.117
688585.SH,20201102,14.66,14.93,14.35,14.66,27053.74,39444.52
688585.SH,20201103,14.68,15.22,14.6,15.04,39714.27,59425.244
688585.SH,20201104,15.05,15.41,14.98,15.22,51772.74,78514.738
688585.SH,20201105,15.22,15.34,14.95,15.01,56279.14,84842.957
688585.SH,20201106,15.1,15.17,14.74,14.84,41929.55,62821.765
688585.SH,20201109,14.93,15.85,14.93,15.67,73528.61,113658.758
688585.SH,20201110,15.76,16.77,15.37,16.45,100004.56,162208.013
688585.SH,20201111,16.38,16.69,15.93,16.11,59760.48,97209.426
688585.SH,20201112,16.11,16.34,15.74,15.83,39139.83,62214.356
688585.SH,20201113,15.76,17.3,15.76,16.55,64184.01,106762.584
688585.SH,20201116,16.88,17.29,16.4,16.85,49279.13,83170.533
688585.SH,20201117,16.67,18.17,16.67,17.47,61121.21,106296.154
688585.SH,20201118,17.8,17.95,17.0,17.7,40269.33,70343.169
688585.SH,20201119,17.56,17.79,16.69,17.09,44685.76,76562.2
688585.SH,20201120,17.09,17.37,16.79,17.11,31851.57,54170.092
688585.SH,20201123,17.29,17.29,16.01,16.16,45456.01,74313.59
688585.SH,20201124,16.19,16.53,16.06,16.18,24599.15,39925.273
688585.SH,20201125,16.09,16.34,15.77,15.9,27949.37,44545.088
688585.SH,20201126,16.0,16.0,15.33,15.41,23583.6,36737.551
688585.SH,20201127,15.41,15.51,15.04,15.19,20568.5,31321.257
688585.SH,20201130,15.3,15.44,15.05,15.19,17678.91,26979.808
688585.SH,20201201,15.19,15.51,15.12,15.42,18028.85,27651.418
688585.SH,20201202,15.42,15.77,15.33,15.62,23068.16,35919.184
688585.SH,20201203,15.59,15.59,15.23,15.25,17365.4,26721.007
688585.SH,20201204,15.21,15.37,15.15,15.19,13374.4,20396.014
688585.SH,20201207,15.28,15.28,14.77,14.8,17609.31,26322.897
688585.SH,20201208,14.72,15.07,14.65,14.68,16476.83,24367.274
688585.SH,20201209,14.69,15.01,14.6,14.75,14386.7,21293.31
688585.SH,20201210,14.75,14.85,14.51,14.57,11476.7,16799.523
688585.SH,20201211,14.58,14.82,14.09,14.17,15965.94,22910.642
688585.SH,20201214,14.1,14.46,14.1,14.38,9867.04,14136.177
688585.SH,20201215,14.26,14.47,14.15,14.34,11305.26,16164.632
688585.SH,20201216,14.43,14.44,13.72,13.75,18348.88,25793.927
688585.SH,20201217,13.83,13.85,13.11,13.74,19275.22,26015.077
688585.SH,20201218,13.53,13.75,13.36,13.48,14903.02,20133.675
688585.SH,20201221,13.54,13.78,13.43,13.6,13384.33,18227.637
688585.SH,20201222,13.6,13.63,13.02,13.17,20885.51,27765.251
688585.SH,20201223,13.21,14.33,13.06,13.87,41900.57,57991.04
688585.SH,20201224,13.88,14.6,13.52,14.0,40657.06,57623.606
688585.SH,20201225,14.14,14.62,13.98,14.41,29717.78,42626.054
688585.SH,20201228,14.49,14.5,13.07,13.17,43657.82,59525.884
688585.SH,20201229,13.17,13.35,12.56,13.29,27472.68,35640.747
688585.SH,20201230,12.98,13.25,12.86,13.09,18220.02,23858.532
688585.SH,20201231,13.08,13.62,12.98,13.16,22837.71,30453.639
688585.SH,20210104,13.2,13.86,13.19,13.6,23821.84,32366.959
688585.SH,20210105,13.63,13.73,13.35,13.46,15435.8,20852.144
688585.SH,20210106,13.4,13.59,12.78,12.82,21038.27,27465.3
688585.SH,20210107,12.85,13.28,12.06,12.35,28501.13,35900.944
688585.SH,20210108,12.12,12.54,11.82,12.03,18126.78,22045.394
688585.SH,20210111,12.08,12.08,10.88,10.92,35336.66,39899.049
688585.SH,20210112,10.94,11.19,10.7,10.79,22785.87,24950.473
688585.SH,20210113,10.86,10.87,10.22,10.22,28111.39,29202.588
688585.SH,20210114,10.23,11.19,10.23,10.93,39830.33,43311.786
688585.SH,20210115,10.82,11.48,10.71,11.28,31066.09,34842.567
688585.SH,20210118,11.16,11.53,11.01,11.14,21943.24,24638.391
688585.SH,20210119,11.03,11.87,11.03,11.5,26814.71,30806.463
688585.SH,20210120,11.55,11.68,11.1,11.6,26548.23,30082.544
