ts_code,trade_date,open,high,low,close,vol,amount
688516.SH,20200521,55.02,64.64,55.0,62.2,148578.07,899312.199
688516.SH,20200522,61.6,70.1,61.52,64.3,129067.22,845383.815
688516.SH,20200525,64.2,64.2,55.43,56.68,98820.32,578682.764
688516.SH,20200526,55.5,64.22,55.4,61.16,104086.88,620106.602
688516.SH,20200527,59.27,60.98,56.88,58.89,87319.81,512032.41
688516.SH,20200528,58.31,59.8,54.5,56.4,70840.46,399717.593
688516.SH,20200529,55.5,56.7,53.9,53.98,58040.96,318518.861
688516.SH,20200601,54.88,58.44,53.98,57.87,76404.02,431970.281
688516.SH,20200602,57.39,60.78,56.65,60.13,81265.34,476043.484
688516.SH,20200603,59.0,59.99,57.8,57.97,53272.43,311980.974
688516.SH,20200604,57.5,59.69,57.41,58.13,42483.09,248371.269
688516.SH,20200605,57.88,57.88,55.5,56.16,40006.24,225141.468
688516.SH,20200608,56.4,58.85,55.38,57.21,43753.13,250820.315
688516.SH,20200609,56.21,57.0,54.7,55.3,32523.35,180633.547
688516.SH,20200610,55.49,55.49,52.46,52.81,38987.64,208567.819
688516.SH,20200611,52.9,53.98,52.53,53.3,23001.83,122274.436
688516.SH,20200612,51.3,52.97,51.24,52.26,20851.75,108830.483
688516.SH,20200615,52.89,53.18,51.2,51.37,22552.6,117482.606
688516.SH,20200616,51.9,53.2,51.2,53.0,24847.01,130072.282
688516.SH,20200617,53.0,53.97,52.55,53.77,25325.02,135025.152
688516.SH,20200618,53.58,54.82,53.32,53.39,22031.86,118922.463
688516.SH,20200619,53.44,53.54,52.5,52.55,16163.77,85343.203
688516.SH,20200622,52.57,54.08,52.12,53.63,19378.0,103497.026
688516.SH,20200623,53.77,53.79,52.5,53.35,16048.25,85183.022
688516.SH,20200624,53.35,54.99,53.02,54.1,22965.8,124514.614
688516.SH,20200629,54.1,55.93,54.0,54.94,29896.47,164583.374
688516.SH,20200630,55.48,55.48,54.18,54.65,29060.66,158886.633
688516.SH,20200701,54.7,55.01,52.6,53.31,26089.94,140286.184
688516.SH,20200702,53.41,53.98,52.64,53.36,18726.39,99718.857
688516.SH,20200703,54.26,61.13,54.08,60.2,92427.18,536611.576
688516.SH,20200706,59.0,62.15,57.35,61.16,71968.29,426986.452
688516.SH,20200707,62.25,63.79,59.3,59.71,63242.08,392430.473
688516.SH,20200708,62.9,64.18,61.31,62.0,52670.02,329049.611
688516.SH,20200709,61.5,64.48,61.1,63.16,53513.04,336064.592
688516.SH,20200710,63.0,64.03,60.93,61.33,37471.95,233582.831
688516.SH,20200713,61.57,64.31,61.33,63.9,38892.14,245266.473
688516.SH,20200714,63.5,67.77,62.81,64.76,45429.05,294505.014
688516.SH,20200715,66.3,66.7,59.0,59.3,37361.55,232284.321
688516.SH,20200716,59.31,60.8,56.7,56.95,24250.47,143059.515
688516.SH,20200717,57.67,58.77,55.05,57.17,17367.3,98886.724
688516.SH,20200720,58.0,58.23,54.4,56.75,17901.92,100412.194
688516.SH,20200721,56.98,60.5,56.89,59.53,32905.31,193806.025
688516.SH,20200722,58.71,59.66,58.31,58.79,17980.07,105892.316
688516.SH,20200723,58.53,59.75,54.05,57.0,31334.3,177754.565
688516.SH,20200724,56.82,58.4,54.3,55.7,24952.93,140346.244
688516.SH,20200727,55.9,57.2,53.0,55.21,26350.44,146677.498
688516.SH,20200728,56.0,58.39,56.0,56.92,19769.64,113148.297
688516.SH,20200729,56.8,58.2,55.51,58.2,16074.96,92257.481
688516.SH,20200730,58.1,60.0,56.9,60.0,23821.4,139608.111
688516.SH,20200731,59.5,60.76,58.4,59.6,20009.68,119302.986
688516.SH,20200803,60.05,61.6,59.38,61.49,19395.95,117758.702
688516.SH,20200804,62.0,65.48,61.0,62.98,28162.99,175621.844
688516.SH,20200805,64.5,66.48,61.32,64.9,33097.26,213013.104
688516.SH,20200806,64.31,67.45,63.3,64.15,21386.32,139715.348
688516.SH,20200807,63.83,65.91,61.65,61.77,17253.18,109503.872
688516.SH,20200810,61.96,74.0,61.96,74.0,47836.26,331863.675
688516.SH,20200811,76.26,78.3,71.0,73.48,35953.77,268360.351
688516.SH,20200812,75.3,77.43,70.11,76.43,30796.12,227518.956
688516.SH,20200813,75.55,80.01,72.56,73.69,25995.91,198508.041
688516.SH,20200814,74.3,81.0,72.02,79.1,27057.57,211062.194
688516.SH,20200817,79.0,79.0,73.81,74.5,27814.83,210390.003
688516.SH,20200818,76.0,81.8,75.2,77.03,29942.15,236486.299
688516.SH,20200819,76.27,78.58,74.1,75.22,17298.87,131271.241
688516.SH,20200820,74.99,77.17,72.0,73.7,10964.29,80628.201
688516.SH,20200821,74.4,75.47,71.46,71.46,10300.71,75708.608
688516.SH,20200824,71.51,73.09,68.41,72.87,11353.81,80226.896
688516.SH,20200825,72.5,73.83,69.69,70.0,12334.6,88039.768
688516.SH,20200826,72.19,72.19,65.55,65.58,13022.32,88220.542
688516.SH,20200827,65.1,67.76,65.1,67.08,6894.61,45962.093
688516.SH,20200828,66.61,71.1,66.51,71.09,10979.49,76248.258
688516.SH,20200831,71.02,75.58,71.02,74.29,9990.73,73949.126
688516.SH,20200901,73.16,75.15,72.73,73.52,5298.4,39183.799
688516.SH,20200902,72.3,79.2,72.29,78.61,11427.06,87560.708
688516.SH,20200903,78.79,80.49,75.37,77.8,8333.82,64828.48
688516.SH,20200904,76.38,81.39,76.38,79.14,14346.22,113511.804
688516.SH,20200907,79.31,80.2,73.63,75.5,13355.45,101771.187
688516.SH,20200908,75.99,77.25,73.13,74.96,6616.67,49802.759
688516.SH,20200909,74.2,75.0,70.58,70.58,7261.32,52237.113
688516.SH,20200910,71.69,72.49,68.86,69.3,5833.06,41392.409
688516.SH,20200911,69.08,80.39,69.08,79.72,13308.58,101066.787
688516.SH,20200914,80.5,83.78,79.1,81.93,12586.93,102840.267
688516.SH,20200915,81.6,82.0,77.6,80.44,9917.45,79167.251
688516.SH,20200916,79.53,83.2,77.24,78.05,10067.48,80084.295
