ts_code,trade_date,open,high,low,close,vol,amount
600312.SH,20190102,7.9,7.9,7.5,7.64,194091.76,148583.58
600312.SH,20190103,7.66,7.7,7.2,7.35,142115.8,106493.375
600312.SH,20190104,7.33,7.88,7.26,7.79,272185.21,208453.197
600312.SH,20190107,7.83,8.57,7.81,8.57,705413.15,586547.643
600312.SH,20190108,8.74,8.83,8.42,8.66,458736.55,395665.981
600312.SH,20190109,8.74,8.8,8.53,8.59,279424.3,242520.782
600312.SH,20190110,8.69,9.02,8.37,8.44,339969.62,293088.795
600312.SH,20190111,8.41,8.57,8.3,8.41,204103.56,171879.759
600312.SH,20190114,8.44,8.57,8.29,8.37,128544.29,108110.636
600312.SH,20190115,8.35,8.85,8.31,8.76,289549.64,249695.198
600312.SH,20190116,8.78,8.78,8.43,8.57,178864.74,153348.216
600312.SH,20190117,8.52,8.73,8.41,8.54,155896.79,133853.945
600312.SH,20190118,8.55,8.57,8.31,8.44,132910.39,111813.638
600312.SH,20190121,8.5,8.64,8.37,8.44,115370.68,98211.873
600312.SH,20190122,8.44,8.54,8.35,8.43,81333.57,68615.046
600312.SH,20190123,8.35,8.47,8.29,8.42,83175.84,69851.195
600312.SH,20190124,8.43,8.6,8.3,8.6,147438.49,124748.693
600312.SH,20190125,8.58,8.62,8.36,8.39,104281.23,88701.828
600312.SH,20190128,8.45,8.64,8.33,8.42,116727.7,99088.045
600312.SH,20190129,8.5,8.57,8.28,8.45,173900.06,146724.966
600312.SH,20190130,8.4,8.52,8.33,8.4,102130.35,86272.3
600312.SH,20190131,8.41,8.48,7.9,8.08,213562.07,174243.187
600312.SH,20190201,8.26,8.36,8.12,8.16,245858.82,202450.905
600312.SH,20190211,8.28,8.64,8.21,8.64,230229.37,196071.663
600312.SH,20190212,8.7,8.75,8.54,8.65,170246.74,147184.369
600312.SH,20190213,8.66,8.98,8.57,8.86,239047.09,210374.086
600312.SH,20190214,8.91,8.95,8.74,8.85,167905.57,148411.434
600312.SH,20190215,8.8,8.89,8.6,8.64,159877.43,139602.038
600312.SH,20190218,8.71,9.15,8.69,9.1,232533.47,208766.855
600312.SH,20190219,9.08,9.35,8.88,9.0,213616.17,193909.516
600312.SH,20190220,8.98,9.09,8.79,8.9,128248.42,114358.789
600312.SH,20190221,8.85,9.22,8.83,8.93,237528.95,214316.087
600312.SH,20190222,8.92,9.13,8.83,9.1,177608.22,160157.842
600312.SH,20190225,9.21,9.6,9.12,9.5,373730.11,350804.665
600312.SH,20190226,9.6,9.68,9.35,9.39,269686.72,256422.349
600312.SH,20190227,9.31,9.55,8.95,9.06,285378.6,263227.304
600312.SH,20190228,9.12,9.27,9.05,9.2,149267.32,136702.545
600312.SH,20190301,9.2,9.3,8.95,9.12,155719.2,141056.282
600312.SH,20190304,9.19,9.41,8.98,9.04,328486.14,302765.704
600312.SH,20190305,8.97,9.18,8.91,9.18,295297.63,266924.191
600312.SH,20190306,9.18,9.36,9.0,9.18,311903.73,286184.435
600312.SH,20190307,9.17,9.2,8.97,9.05,260917.14,236486.428
600312.SH,20190308,8.96,8.98,8.54,8.55,302497.47,265229.53
600312.SH,20190311,8.64,9.41,8.64,9.41,386903.79,357978.883
600312.SH,20190312,10.08,10.29,9.53,9.7,725420.12,715671.083
600312.SH,20190313,9.68,9.68,9.08,9.17,542198.54,507116.621
600312.SH,20190314,9.13,9.26,8.71,8.85,315604.57,281304.756
600312.SH,20190315,8.88,8.96,8.67,8.8,232012.09,205087.109
600312.SH,20190318,8.82,9.06,8.64,9.0,226367.93,201365.019
600312.SH,20190319,9.0,9.12,8.85,8.92,197422.04,177072.123
600312.SH,20190320,8.92,8.96,8.66,8.82,193617.78,169876.75
600312.SH,20190321,8.87,8.93,8.8,8.85,150692.0,133677.278
600312.SH,20190322,8.85,8.88,8.7,8.82,140833.71,123431.806
600312.SH,20190325,8.7,8.82,8.65,8.68,143217.07,124904.322
600312.SH,20190326,8.67,8.73,8.31,8.33,199669.12,169382.353
600312.SH,20190327,8.38,8.48,8.0,8.46,340924.46,280745.029
