ts_code,trade_date,open,high,low,close,vol,amount
300666.SZ,20190102,41.35,42.15,41.35,41.81,15856.12,66340.636
300666.SZ,20190103,41.82,42.08,40.86,41.11,16594.11,68719.295
300666.SZ,20190104,40.35,40.85,39.1,40.82,36614.69,146729.662
300666.SZ,20190107,41.19,43.55,40.05,42.38,37303.94,157149.862
300666.SZ,20190108,42.03,42.17,41.32,41.48,21629.01,90156.311
300666.SZ,20190109,41.7,42.87,40.95,41.85,37469.23,157298.877
300666.SZ,20190110,41.7,42.21,41.35,41.39,16890.91,70518.376
300666.SZ,20190111,41.57,41.69,40.68,40.96,19165.33,78775.914
300666.SZ,20190114,39.66,39.66,36.86,36.88,66106.01,249615.783
300666.SZ,20190115,36.78,37.27,35.08,37.11,36120.48,131285.233
300666.SZ,20190116,36.94,37.86,36.71,37.35,26280.79,98396.886
300666.SZ,20190117,37.3,37.3,36.51,36.61,18593.59,68514.519
300666.SZ,20190118,36.98,36.99,35.8,36.4,22222.13,80824.533
300666.SZ,20190121,36.08,37.45,36.08,37.32,27174.78,100434.764
300666.SZ,20190122,37.05,37.55,36.71,36.91,17898.83,66367.617
300666.SZ,20190123,36.73,36.86,36.2,36.55,13429.0,49116.478
300666.SZ,20190124,36.55,38.99,36.55,37.88,47896.45,181156.586
300666.SZ,20190125,37.51,38.38,37.13,37.2,34884.75,131935.953
300666.SZ,20190128,37.42,37.81,36.25,36.29,28178.59,104179.254
300666.SZ,20190129,36.8,36.8,34.2,35.35,29221.23,103249.7
300666.SZ,20190130,35.47,35.74,35.06,35.11,14000.03,49553.548
300666.SZ,20190131,34.8,35.51,34.03,34.24,25162.89,87128.519
300666.SZ,20190201,34.1,35.63,34.1,35.6,21351.79,75288.583
300666.SZ,20190211,36.43,37.6,35.9,37.18,34775.22,127554.228
300666.SZ,20190212,36.98,38.78,36.73,37.92,45618.47,172418.75
300666.SZ,20190213,38.36,40.71,38.05,39.82,71847.72,286583.93
300666.SZ,20190214,39.91,40.39,39.22,39.54,47499.81,188738.467
300666.SZ,20190215,39.62,39.98,39.05,39.11,35418.09,139917.648
300666.SZ,20190218,39.66,40.9,39.49,40.89,54666.69,220430.992
300666.SZ,20190219,41.05,41.1,39.7,40.08,48608.65,195756.451
300666.SZ,20190220,39.79,39.93,38.9,39.49,31773.06,125226.562
300666.SZ,20190221,39.58,40.88,39.02,39.87,51669.89,207358.953
300666.SZ,20190222,39.72,40.65,39.49,40.62,43152.87,173207.373
300666.SZ,20190225,41.59,43.8,41.04,43.09,79779.4,337526.371
300666.SZ,20190226,43.27,45.62,41.88,43.15,93313.47,405345.301
300666.SZ,20190227,42.87,45.57,42.86,44.26,86088.98,380682.173
300666.SZ,20190228,43.5,44.7,43.18,43.75,48186.46,211270.84
300666.SZ,20190301,43.85,44.29,42.72,43.36,39454.62,170417.305
300666.SZ,20190304,44.08,45.12,43.68,43.75,71189.09,316353.735
300666.SZ,20190305,43.7,46.66,43.16,46.22,93545.44,420722.284
300666.SZ,20190306,46.22,46.7,44.69,45.65,85253.47,387069.83
300666.SZ,20190307,45.5,46.31,44.85,45.49,71237.08,324382.451
300666.SZ,20190308,45.0,50.04,44.13,48.7,200806.45,984068.117
300666.SZ,20190311,50.55,51.0,47.08,48.87,125449.62,610573.799
300666.SZ,20190312,48.97,50.17,48.0,49.44,98997.46,486440.308
300666.SZ,20190313,49.0,49.41,46.11,46.75,74583.81,358490.702
300666.SZ,20190314,45.4,45.69,43.3,43.79,73485.52,325301.095
300666.SZ,20190315,44.0,44.43,43.01,43.41,47993.29,209481.327
300666.SZ,20190318,43.46,44.27,43.07,44.27,38176.88,167193.216
300666.SZ,20190319,44.56,45.98,44.28,44.56,47788.46,215153.405
300666.SZ,20190320,44.8,45.3,43.4,43.98,35783.96,158280.526
300666.SZ,20190321,43.98,45.4,43.61,44.85,50990.71,228273.876
300666.SZ,20190322,44.96,44.96,44.01,44.66,31849.83,141701.653
300666.SZ,20190325,48.99,48.99,46.76,46.85,131466.89,627674.964
300666.SZ,20190326,46.8,46.8,43.82,44.03,76699.48,346974.753
300666.SZ,20190327,44.2,44.96,42.7,44.56,55302.01,243436.016
300666.SZ,20190328,44.0,45.65,43.55,43.97,48846.02,218373.019
300666.SZ,20190329,44.06,45.09,43.25,44.98,43082.57,191409.729
300666.SZ,20190401,45.03,46.34,45.0,46.07,59963.27,275071.295
300666.SZ,20190402,46.58,47.0,45.78,46.37,63247.77,293246.713
300666.SZ,20190403,46.0,46.24,45.61,46.05,37508.61,172100.656
300666.SZ,20190404,46.38,46.97,46.15,46.31,47022.41,219009.239
300666.SZ,20190408,46.44,46.87,44.0,44.36,53555.17,242359.47
300666.SZ,20190409,44.33,44.9,43.8,44.13,36184.74,160127.637
300666.SZ,20190410,43.2,44.35,43.13,43.83,26291.94,114982.339
300666.SZ,20190411,44.11,44.88,43.9,43.98,35839.24,158995.244
300666.SZ,20190412,43.61,44.64,43.61,44.21,24336.79,107545.318
300666.SZ,20190415,44.61,45.12,44.2,44.28,36012.07,161080.418
300666.SZ,20190416,44.02,45.19,43.61,45.15,35572.47,158208.021
300666.SZ,20190417,45.16,45.85,44.78,44.91,34964.91,158057.664
300666.SZ,20190418,44.81,44.96,43.85,43.88,29183.74,129316.049
300666.SZ,20190419,43.88,44.23,43.51,44.0,20836.07,91338.954
300666.SZ,20190422,44.0,44.28,43.43,43.5,22544.0,98723.681
300666.SZ,20190423,43.5,43.8,42.88,42.89,22723.44,98297.431
300666.SZ,20190424,42.89,43.86,41.44,43.8,38435.44,164341.991
300666.SZ,20190425,43.01,43.43,41.8,41.95,23701.35,101188.892
300666.SZ,20190426,41.6,42.22,40.96,41.01,24647.61,102708.089
300666.SZ,20190429,40.9,41.45,37.9,38.05,40775.41,159903.286
300666.SZ,20190430,38.5,38.78,37.7,38.49,19192.64,73482.74
300666.SZ,20190506,37.7,37.73,34.64,35.2,31116.01,111781.651
300666.SZ,20190507,35.3,35.92,34.78,35.62,20045.85,70976.33
300666.SZ,20190508,35.0,38.31,34.51,37.07,43941.5,162047.102
300666.SZ,20190509,37.05,38.24,36.8,36.99,27287.33,102392.53
300666.SZ,20190510,37.73,40.07,36.15,39.35,52370.0,200589.906
300666.SZ,20190513,38.7,39.3,38.22,38.75,29711.23,114933.838
300666.SZ,20190514,38.3,38.95,37.75,37.75,24629.38,94007.153
300666.SZ,20190515,38.08,38.39,37.57,37.89,18885.6,71569.626
300666.SZ,20190516,37.89,38.1,37.46,37.91,18174.51,68807.299
300666.SZ,20190517,38.99,40.45,38.01,38.31,55674.51,218629.973
300666.SZ,20190520,40.0,40.86,38.81,40.18,65813.06,263547.419
300666.SZ,20190521,39.11,40.47,39.11,39.9,42219.49,167653.53
300666.SZ,20190522,39.7,40.8,39.52,40.28,49808.43,200329.894
300666.SZ,20190523,40.3,41.75,39.1,40.5,66749.92,271413.727
300666.SZ,20190524,39.48,39.93,38.0,38.21,45325.0,176492.861
300666.SZ,20190527,38.17,42.03,38.08,41.5,88772.57,361156.245
