ts_code,trade_date,open,high,low,close,vol,amount
300197.SZ,20190102,3.78,3.92,3.73,3.84,387811.45,147519.635
300197.SZ,20190103,3.83,3.83,3.62,3.73,378626.08,140886.556
300197.SZ,20190104,3.66,3.8,3.63,3.78,344310.93,128604.028
300197.SZ,20190107,3.78,3.8,3.71,3.78,335200.07,126091.876
300197.SZ,20190108,3.76,3.93,3.73,3.85,414269.15,158474.075
300197.SZ,20190109,3.81,3.95,3.8,3.84,437928.83,169052.929
300197.SZ,20190110,3.82,3.85,3.76,3.8,281240.99,106938.572
300197.SZ,20190111,3.79,3.82,3.75,3.8,211948.72,80096.372
300197.SZ,20190114,3.8,3.81,3.7,3.7,167128.32,62722.948
300197.SZ,20190115,3.7,3.76,3.66,3.75,206650.72,76502.332
300197.SZ,20190116,3.75,3.76,3.69,3.7,142780.93,53196.094
300197.SZ,20190117,3.7,3.71,3.52,3.56,215387.86,78359.154
300197.SZ,20190118,3.57,3.67,3.5,3.66,334253.59,119513.807
300197.SZ,20190121,3.65,3.65,3.59,3.61,163672.22,59240.45
300197.SZ,20190122,3.62,3.62,3.54,3.6,152943.12,54680.045
300197.SZ,20190123,3.57,3.61,3.55,3.58,108883.82,38916.383
300197.SZ,20190124,3.58,3.59,3.53,3.54,100270.0,35694.303
300197.SZ,20190125,3.54,3.56,3.46,3.46,146324.3,51463.608
300197.SZ,20190128,3.48,3.5,3.24,3.27,269484.13,90024.55
300197.SZ,20190129,3.25,3.28,3.06,3.27,237643.91,75891.398
300197.SZ,20190130,3.28,3.28,3.13,3.14,99729.89,32073.362
300197.SZ,20190131,3.16,3.22,3.07,3.09,149515.69,46991.994
300197.SZ,20190201,3.1,3.33,3.1,3.29,190273.49,61215.366
300197.SZ,20190211,3.3,3.44,3.25,3.43,192241.03,64390.21
300197.SZ,20190212,3.39,3.52,3.38,3.45,242724.74,84097.614
300197.SZ,20190213,3.46,3.55,3.38,3.54,276915.99,96904.381
300197.SZ,20190214,3.54,3.58,3.51,3.54,179653.26,63699.004
300197.SZ,20190215,3.53,3.87,3.49,3.7,547779.94,203090.017
300197.SZ,20190218,3.7,3.88,3.67,3.86,572670.9,217615.006
300197.SZ,20190219,3.89,3.97,3.76,3.85,573327.43,221820.199
300197.SZ,20190220,3.85,3.86,3.73,3.83,344395.94,130285.222
300197.SZ,20190221,3.83,3.94,3.76,3.81,360998.94,138480.487
300197.SZ,20190222,3.8,3.86,3.77,3.84,316314.17,120811.375
300197.SZ,20190225,3.88,4.06,3.83,4.06,762637.09,301518.641
300197.SZ,20190226,4.07,4.3,3.97,4.13,833714.9,345281.518
300197.SZ,20190227,4.13,4.47,4.13,4.27,956350.22,412449.158
300197.SZ,20190228,4.42,4.45,4.22,4.26,760999.08,329720.436
300197.SZ,20190301,4.29,4.44,4.24,4.43,618699.56,267901.909
300197.SZ,20190304,4.5,4.87,4.4,4.87,1381417.44,659535.961
300197.SZ,20190305,4.82,5.2,4.7,5.18,1406767.87,702563.956
300197.SZ,20190306,5.15,5.24,4.93,5.11,1126482.03,571961.308
300197.SZ,20190307,5.08,5.1,4.86,5.0,1093187.4,545798.938
300197.SZ,20190308,4.82,4.96,4.56,4.6,1016932.6,485449.853
300197.SZ,20190311,4.59,4.83,4.59,4.81,558282.99,264203.349
300197.SZ,20190312,4.83,4.96,4.78,4.87,807376.78,392858.772
300197.SZ,20190313,4.83,4.88,4.6,4.67,579345.62,273690.33
300197.SZ,20190314,4.66,4.7,4.43,4.51,424110.05,192045.325
300197.SZ,20190315,4.53,4.65,4.51,4.58,292292.29,134104.161
300197.SZ,20190318,4.62,4.79,4.61,4.75,368821.32,173741.899
300197.SZ,20190319,4.76,4.81,4.7,4.72,339476.03,161346.593
300197.SZ,20190320,4.75,4.79,4.6,4.79,382223.97,179339.761
300197.SZ,20190321,4.79,4.83,4.72,4.8,450696.26,216215.509
300197.SZ,20190322,4.81,4.82,4.64,4.73,321225.86,151230.476
300197.SZ,20190325,4.64,4.68,4.55,4.56,330955.85,152743.055
