ts_code,trade_date,open,high,low,close,vol,amount
300151.SZ,20190102,5.29,5.31,5.16,5.2,10217.71,5331.455
300151.SZ,20190103,5.16,5.28,5.12,5.17,13111.01,6790.859
300151.SZ,20190104,5.12,5.44,5.05,5.44,23860.5,12695.07
300151.SZ,20190107,5.71,5.74,5.44,5.47,33105.74,18336.19
300151.SZ,20190108,5.43,5.48,5.4,5.43,12537.27,6816.591
300151.SZ,20190109,5.47,5.52,5.37,5.41,21654.09,11802.042
300151.SZ,20190110,5.38,5.51,5.31,5.41,16310.09,8832.818
300151.SZ,20190111,5.45,5.46,5.36,5.43,14157.0,7649.029
300151.SZ,20190114,5.43,5.46,5.28,5.29,20088.0,10740.14
300151.SZ,20190115,5.31,5.48,5.27,5.48,20562.09,11100.089
300151.SZ,20190116,5.48,5.58,5.43,5.47,21863.0,11994.978
300151.SZ,20190117,5.43,5.5,5.38,5.38,15283.54,8314.514
300151.SZ,20190118,5.39,5.52,5.39,5.45,17301.97,9426.253
300151.SZ,20190121,5.53,5.56,5.47,5.47,18437.17,10133.986
300151.SZ,20190122,5.48,5.48,5.33,5.38,16043.23,8664.466
300151.SZ,20190123,5.35,5.41,5.31,5.39,10392.0,5564.518
300151.SZ,20190124,5.38,5.43,5.29,5.36,10283.0,5518.569
300151.SZ,20190125,5.33,5.39,5.28,5.31,12342.23,6589.235
300151.SZ,20190128,5.31,5.42,5.27,5.3,11618.5,6209.11
300151.SZ,20190129,5.36,5.36,5.03,5.11,17736.0,9124.759
300151.SZ,20190130,5.1,5.16,5.03,5.04,12142.0,6175.24
300151.SZ,20190131,4.95,5.16,4.95,5.03,15858.0,8029.287
300151.SZ,20190201,5.05,5.14,5.03,5.13,15692.44,7980.49
300151.SZ,20190211,5.13,5.31,5.13,5.3,18967.0,9895.459
300151.SZ,20190212,5.28,5.37,5.23,5.36,16730.0,8921.592
300151.SZ,20190213,5.37,5.45,5.31,5.42,27600.35,14908.234
300151.SZ,20190214,5.42,5.47,5.39,5.41,17912.6,9718.025
300151.SZ,20190215,5.44,5.46,5.39,5.42,20037.43,10886.271
300151.SZ,20190218,5.45,5.62,5.4,5.61,30563.48,16996.671
300151.SZ,20190219,5.68,5.73,5.53,5.63,38744.78,21801.38
300151.SZ,20190220,5.61,5.66,5.51,5.62,24370.0,13594.73
300151.SZ,20190221,5.58,5.74,5.57,5.72,67047.52,38085.371
300151.SZ,20190222,5.64,5.8,5.59,5.79,73004.34,41482.232
300151.SZ,20190225,5.95,6.3,5.8,6.19,118731.78,72286.558
300151.SZ,20190226,6.15,6.2,6.03,6.06,109559.58,67023.709
300151.SZ,20190227,6.0,6.11,5.87,5.95,72975.49,43951.735
300151.SZ,20190228,5.99,6.08,5.94,5.99,47015.0,28305.31
300151.SZ,20190301,6.0,6.13,5.95,6.12,55704.05,33684.765
300151.SZ,20190304,6.17,6.25,6.08,6.1,86986.54,53642.706
300151.SZ,20190305,6.05,6.23,6.03,6.23,75670.54,46635.739
300151.SZ,20190306,6.27,6.44,6.25,6.39,92656.0,58810.63
300151.SZ,20190307,6.41,6.54,6.31,6.47,93782.52,60233.556
300151.SZ,20190308,6.34,6.42,6.07,6.08,85361.5,53287.626
300151.SZ,20190311,6.14,6.62,6.08,6.53,110983.99,70871.177
300151.SZ,20190312,6.63,6.72,6.41,6.55,93981.42,61579.04
300151.SZ,20190313,6.48,6.95,6.42,6.67,123747.29,82185.687
300151.SZ,20190314,6.55,6.57,6.19,6.33,88770.71,56611.944
300151.SZ,20190315,6.41,6.58,6.33,6.51,65885.0,42523.119
300151.SZ,20190318,6.58,6.64,6.45,6.57,50444.05,33063.11
300151.SZ,20190319,6.59,7.22,6.51,6.79,102629.0,70079.344
300151.SZ,20190320,6.65,6.76,6.55,6.66,68284.5,45309.233
300151.SZ,20190321,6.54,6.69,6.5,6.6,71615.02,47334.994
300151.SZ,20190322,6.57,6.87,6.51,6.71,60092.36,40062.632
300151.SZ,20190325,6.61,6.85,6.56,6.73,51523.37,34651.748
300151.SZ,20190326,6.74,6.93,6.58,6.65,71637.58,48490.433
300151.SZ,20190327,6.74,6.74,6.35,6.48,51097.33,33282.809
300151.SZ,20190328,6.4,6.75,6.35,6.56,51406.08,34022.193
300151.SZ,20190329,6.52,6.7,6.45,6.69,39297.19,26027.204
300151.SZ,20190401,6.72,6.88,6.67,6.8,60665.95,41191.444
300151.SZ,20190402,6.9,6.9,6.72,6.77,39666.56,26929.491
300151.SZ,20190403,6.77,6.87,6.74,6.86,45595.22,31080.383
