trade_date,open,high,low,close,vol,amount
20210115,2.11,2.23,2.11,2.21,74572.0,16274.026
20210114,2.11,2.16,2.1,2.13,39448.59,8418.765
20210113,2.15,2.17,2.1,2.11,57711.0,12258.374
20210112,2.13,2.22,2.11,2.15,73068.93,15799.704
20210111,2.25,2.26,2.11,2.12,91864.0,19991.725
20210108,2.19,2.29,2.11,2.21,106799.0,23577.689
20210107,2.35,2.36,2.21,2.22,142350.25,32130.662
20210106,2.44,2.45,2.21,2.37,138014.01,32434.989
20210105,2.54,2.56,2.44,2.44,96640.0,24037.897
20210104,2.6,2.61,2.53,2.55,64087.0,16408.265
20201231,2.56,2.63,2.56,2.61,45048.43,11661.869
20201230,2.66,2.66,2.57,2.59,60749.0,15808.149
20201229,2.56,2.67,2.53,2.64,72795.0,19192.142
20201228,2.61,2.62,2.53,2.54,55304.0,14187.532
20201225,2.54,2.63,2.52,2.6,59751.0,15500.132
20201224,2.59,2.62,2.48,2.53,73034.0,18474.055
20201223,2.6,2.64,2.59,2.6,40192.0,10511.119
20201222,2.66,2.7,2.6,2.6,53263.0,14041.773
20201221,2.68,2.7,2.62,2.65,46081.46,12236.329
20201218,2.73,2.75,2.65,2.65,65971.0,17711.523
20201217,2.62,2.76,2.57,2.73,122536.87,32505.002
20201216,2.73,2.73,2.6,2.61,98997.54,26198.785
20201215,2.8,2.82,2.69,2.72,135640.18,37287.009
20201214,2.78,2.96,2.78,2.87,154787.85,44631.746
20201211,3.02,3.03,2.72,2.78,232225.64,64616.705
20201210,3.0,3.04,3.0,3.02,32964.0,9966.219
20201209,3.07,3.07,3.01,3.02,42229.0,12845.305
20201208,3.13,3.14,3.07,3.07,51200.45,15865.52
20201207,3.16,3.17,3.12,3.13,38740.0,12162.243
20201204,3.12,3.18,3.1,3.18,41822.08,13176.563
20201203,3.18,3.18,3.13,3.13,46245.0,14547.732
20201202,3.17,3.19,3.14,3.17,40464.16,12814.413
20201201,3.15,3.18,3.12,3.17,42668.26,13509.629
20201130,3.09,3.18,3.07,3.15,74224.0,23279.77
20201127,3.06,3.09,3.03,3.09,36281.5,11103.624
20201126,3.12,3.12,3.05,3.07,52390.0,16154.723
20201125,3.15,3.17,3.11,3.12,50063.95,15703.217
20201124,3.12,3.15,3.1,3.15,42013.43,13174.492
20201123,3.16,3.16,3.11,3.12,44546.0,13928.21
20201120,3.14,3.18,3.1,3.15,36446.0,11407.178
20201119,3.14,3.15,3.12,3.13,28909.0,9062.604
20201118,3.14,3.19,3.12,3.15,34721.0,10959.524
20201117,3.15,3.15,3.09,3.12,28064.0,8731.885
20201116,3.15,3.17,3.12,3.15,33250.0,10452.792
20201113,3.16,3.17,3.1,3.14,36675.0,11486.562
