ts_code,trade_date,open,high,low,close,vol,amount
300482.SZ,20190102,25.16,25.68,24.41,25.12,18120.91,45309.562
300482.SZ,20190103,25.0,25.29,24.05,24.06,15730.3,38707.766
300482.SZ,20190104,23.82,24.75,23.82,24.5,27428.49,66595.332
300482.SZ,20190107,24.7,25.2,24.3,24.63,20219.85,49880.113
300482.SZ,20190108,24.63,24.96,23.9,24.15,25626.95,62301.701
300482.SZ,20190109,24.1,25.18,24.08,24.68,27207.94,67278.992
300482.SZ,20190110,24.44,24.87,24.26,24.42,19779.48,48491.888
300482.SZ,20190111,24.42,24.74,24.11,24.7,17181.25,41961.288
300482.SZ,20190114,24.55,24.55,23.93,24.03,19618.05,47498.19
300482.SZ,20190115,23.99,25.0,23.83,24.73,19794.48,48453.471
300482.SZ,20190116,24.62,24.93,24.59,24.81,14352.75,35484.131
300482.SZ,20190117,24.87,24.9,24.25,24.4,13617.27,33415.896
300482.SZ,20190118,24.4,26.3,24.3,25.75,30375.71,77088.13
300482.SZ,20190121,26.1,26.92,25.6,26.3,25019.31,65885.254
300482.SZ,20190122,26.2,26.45,25.9,26.1,14369.7,37667.537
300482.SZ,20190123,26.11,26.11,25.3,25.65,10961.8,28068.378
300482.SZ,20190124,25.63,26.48,25.33,26.42,12900.29,33648.238
300482.SZ,20190125,26.42,26.98,25.99,26.47,11999.46,31892.534
300482.SZ,20190128,26.5,26.88,25.58,25.91,13427.8,35024.667
300482.SZ,20190129,25.68,25.99,25.34,25.43,8591.03,21929.322
300482.SZ,20190130,26.16,26.59,25.6,25.7,13534.42,35473.959
300482.SZ,20190131,25.61,26.42,25.5,25.73,11489.51,29839.547
300482.SZ,20190201,25.73,26.69,25.73,26.6,12255.58,32218.723
300482.SZ,20190211,26.7,27.7,26.7,27.57,16899.79,46162.809
300482.SZ,20190212,27.57,28.67,27.33,28.62,22673.2,64073.182
300482.SZ,20190213,28.41,28.98,28.41,28.79,22579.46,64844.683
300482.SZ,20190214,28.64,29.5,28.4,29.14,16844.83,49213.771
300482.SZ,20190215,29.14,29.24,28.59,28.63,14881.76,42875.937
300482.SZ,20190218,28.73,30.35,28.73,30.27,22531.54,67197.578
300482.SZ,20190219,31.3,31.43,29.48,30.04,24201.87,73645.878
300482.SZ,20190220,29.99,29.99,29.07,29.49,20359.62,59921.298
300482.SZ,20190221,29.42,29.75,28.91,29.05,17817.86,52393.727
300482.SZ,20190222,29.05,29.59,29.0,29.39,15577.35,45597.603
300482.SZ,20190225,29.92,30.87,29.52,30.65,30617.36,92593.443
300482.SZ,20190226,30.52,32.4,30.01,31.5,39311.87,123034.923
300482.SZ,20190227,31.06,31.87,30.61,30.8,28959.65,90375.164
300482.SZ,20190228,30.78,32.33,30.72,32.04,30228.64,96168.876
300482.SZ,20190301,32.2,32.2,31.51,32.12,13829.73,44165.792
300482.SZ,20190304,32.2,33.38,32.2,32.57,26762.69,87774.859
300482.SZ,20190305,32.57,32.8,31.6,32.19,23734.61,76230.43
300482.SZ,20190306,32.2,32.68,32.01,32.36,21605.82,70020.31
300482.SZ,20190307,33.09,34.17,32.4,32.99,35080.09,116279.17
300482.SZ,20190308,32.0,32.6,31.4,31.4,28015.47,89572.847
300482.SZ,20190311,31.39,32.79,31.0,32.79,18182.58,58299.886
300482.SZ,20190312,32.8,34.85,32.79,34.3,35453.48,120514.629
300482.SZ,20190313,34.5,34.78,33.5,33.72,23265.6,79548.488
300482.SZ,20190314,33.4,34.12,33.31,33.9,17731.78,59862.661
300482.SZ,20190315,33.68,35.46,33.65,35.4,27168.89,94682.852
300482.SZ,20190318,35.59,36.16,34.75,36.01,18562.57,66221.562
300482.SZ,20190319,36.0,36.0,35.13,35.39,12989.57,46105.664
300482.SZ,20190320,35.45,36.15,34.44,35.0,18825.24,66429.197
300482.SZ,20190321,35.18,35.75,34.65,35.21,13018.47,45889.173
300482.SZ,20190322,35.06,35.52,34.3,35.25,14779.75,51700.137
300482.SZ,20190325,34.33,35.25,34.25,34.33,12133.68,41864.65
300482.SZ,20190326,34.44,35.59,33.08,33.55,16248.5,55698.721
300482.SZ,20190327,33.96,34.5,33.29,33.9,17010.13,57961.862
300482.SZ,20190328,34.68,34.86,33.81,33.91,17193.24,58937.774
300482.SZ,20190329,33.88,34.78,33.2,34.69,18436.31,63362.321
300482.SZ,20190401,34.8,35.88,34.74,35.45,20660.22,72945.223
300482.SZ,20190402,35.75,35.75,34.91,35.04,14681.78,51513.251
300482.SZ,20190403,34.94,35.88,34.85,35.42,15082.1,53429.581
300482.SZ,20190404,35.52,35.59,34.85,35.18,13295.18,46883.306
300482.SZ,20190408,35.18,35.45,34.03,34.52,17496.1,60739.862
300482.SZ,20190409,34.74,36.64,34.41,35.7,24815.2,88592.27
300482.SZ,20190410,35.05,36.46,34.21,36.12,31391.43,112339.472
300482.SZ,20190411,36.38,36.38,34.2,35.25,24636.79,86471.557
300482.SZ,20190412,34.83,35.37,34.32,34.81,11366.09,39455.239
300482.SZ,20190415,35.17,35.42,33.58,33.7,13850.89,47906.109
300482.SZ,20190416,33.67,34.6,32.45,34.2,20668.45,69621.208
300482.SZ,20190417,34.31,35.01,34.16,34.55,17881.06,62083.22
300482.SZ,20190418,34.35,35.19,34.1,34.44,13460.76,46622.725
300482.SZ,20190419,34.44,34.47,33.62,33.85,12956.2,43896.911
300482.SZ,20190422,33.85,34.82,33.85,33.93,10791.62,36977.458
300482.SZ,20190423,33.93,34.09,32.9,32.96,12762.61,42536.056
300482.SZ,20190424,33.4,33.45,32.61,33.38,12559.02,41594.838
300482.SZ,20190425,33.05,33.93,32.8,32.82,11100.66,37154.007
300482.SZ,20190426,33.66,33.7,32.38,33.12,13021.48,43309.066
300482.SZ,20190429,33.3,34.3,32.02,33.24,17392.35,57905.628
300482.SZ,20190430,33.2,34.25,33.03,33.98,10602.67,35861.496
300482.SZ,20190506,32.89,33.59,30.58,30.65,23668.3,74574.172
300482.SZ,20190507,30.51,32.33,30.51,32.1,21803.36,69328.713
300482.SZ,20190508,31.98,33.09,31.08,32.45,13581.86,44183.486
300482.SZ,20190509,32.03,32.59,31.52,31.54,11862.13,37881.079
300482.SZ,20190510,32.19,33.09,31.55,33.0,10763.72,34899.373
300482.SZ,20190513,33.0,33.0,32.0,32.12,13767.61,44344.884
300482.SZ,20190514,31.66,32.79,31.52,32.6,9389.4,30426.084
300482.SZ,20190515,32.78,33.26,32.52,33.21,8136.6,26789.616
300482.SZ,20190516,33.15,33.69,32.99,33.43,9001.5,30006.318
300482.SZ,20190517,33.42,34.37,33.09,33.38,16306.57,55135.82
300482.SZ,20190520,33.35,33.58,32.02,32.62,12332.74,40437.188
300482.SZ,20190521,32.67,34.99,32.67,34.94,21491.09,73922.252
300482.SZ,20190522,35.01,35.7,34.44,35.19,20312.41,71010.08
300482.SZ,20190523,34.99,35.43,33.6,33.88,14957.72,51544.757
300482.SZ,20190524,34.18,34.46,33.6,33.83,13451.34,45702.465
300482.SZ,20190527,33.83,35.39,33.64,35.16,16346.05,56781.2
300482.SZ,20190528,35.06,35.39,34.63,34.75,8804.2,30811.496
300482.SZ,20190529,34.75,35.74,34.6,35.73,13070.98,46171.16
300482.SZ,20190530,35.3,35.69,34.43,35.69,11759.45,41284.707
300482.SZ,20190531,35.36,36.19,35.0,35.08,12032.04,42791.234
300482.SZ,20190603,34.98,36.1,34.8,34.88,12506.12,44194.391
300482.SZ,20190604,34.95,35.24,34.34,35.0,9921.76,34557.153
300482.SZ,20190605,35.06,35.38,33.4,34.56,20094.81,68746.3
300482.SZ,20190606,34.3,34.3,32.8,33.33,9781.4,32821.44
300482.SZ,20190610,33.46,34.29,32.7,33.2,9209.15,31011.655
300482.SZ,20190611,33.26,34.38,33.13,34.18,20339.24,68483.861
300482.SZ,20190612,34.18,34.82,33.51,34.6,10456.82,35657.431
300482.SZ,20190613,34.61,36.7,34.07,36.7,24667.29,88134.392
300482.SZ,20190614,36.79,38.91,36.7,37.83,45932.48,173836.958
300482.SZ,20190617,38.0,38.49,37.03,38.0,21623.27,81929.95
300482.SZ,20190618,38.06,38.31,37.51,38.06,10680.39,40565.725
300482.SZ,20190619,38.59,40.6,38.59,39.8,31902.48,126542.368
300482.SZ,20190620,39.67,40.79,39.03,39.3,31489.56,125399.082
300482.SZ,20190621,39.94,40.39,39.01,39.46,20113.48,79694.396
300482.SZ,20190624,39.46,39.96,38.72,39.21,18366.1,71849.391
300482.SZ,20190625,39.5,39.5,37.36,38.15,34125.04,130079.583
300482.SZ,20190626,38.41,39.18,37.84,38.4,21659.67,83009.438
300482.SZ,20190627,38.4,38.89,37.9,38.4,21626.66,82857.486
300482.SZ,20190628,38.42,38.42,37.42,37.7,14687.73,55537.52
300482.SZ,20190701,38.4,39.82,38.01,39.54,25436.1,99046.816
300482.SZ,20190702,39.5,40.09,38.79,39.85,25787.87,102018.544
300482.SZ,20190703,39.85,39.98,38.11,38.25,16632.83,64529.077
300482.SZ,20190704,38.6,38.65,37.17,37.45,16134.95,60754.233
300482.SZ,20190705,37.24,37.84,37.1,37.45,11093.68,41603.245
300482.SZ,20190708,37.11,37.19,36.0,36.08,18465.3,67406.5
300482.SZ,20190709,36.38,37.01,36.15,36.5,10220.44,37432.66
300482.SZ,20190710,36.52,37.18,36.19,36.57,11066.8,40610.97
300482.SZ,20190711,36.83,37.1,36.2,36.51,9627.26,35262.94
300482.SZ,20190712,36.36,36.8,36.21,36.71,11510.25,41997.828
300482.SZ,20190715,36.71,37.1,35.68,36.51,11209.85,40811.236
300482.SZ,20190716,36.54,36.83,36.17,36.79,6738.27,24616.027
300482.SZ,20190717,36.79,36.79,36.1,36.11,7170.63,26046.74
300482.SZ,20190718,36.22,36.5,35.33,35.7,10102.59,36012.251
300482.SZ,20190719,35.31,35.98,35.28,35.43,6145.6,21923.17
300482.SZ,20190722,35.46,36.15,34.68,35.89,9225.92,32838.822
300482.SZ,20190723,36.08,36.3,34.8,35.29,13182.21,46574.211
300482.SZ,20190724,35.3,35.75,35.01,35.22,13100.2,46396.138
300482.SZ,20190725,35.4,38.32,35.17,38.21,34620.45,128269.398
300482.SZ,20190726,37.96,38.45,37.72,37.99,14605.18,55468.266
300482.SZ,20190729,37.83,38.39,37.8,38.03,8564.22,32573.049
300482.SZ,20190730,38.09,38.23,37.42,37.61,13773.77,51988.655
