,code
0,000408.SZ
1,000517.SZ
2,000595.SZ
3,000599.SZ
4,000636.SZ
5,000680.SZ
6,000687.SZ
7,000702.SZ
8,000712.SZ
9,000918.SZ
10,000920.SZ
11,000921.SZ
12,002028.SZ
13,002281.SZ
